num_genomes	avg_num_gene_clusters	standard_deviation
1	4100.68	139.6963048902869
2	4555.03	185.21438686020048
3	4954.58	171.5564152108571
4	5251.01	190.4493893400554
5	5510.96	207.87664226651344
6	5752.85	223.54012503351606
7	5974.58	249.95492313615267
8	6169.92	200.15872101909525
9	6332.57	249.6001304086198
10	6561.27	261.19562994047203
11	6755.17	223.513357766376
12	6901.56	225.8478390421303
13	7026.45	218.35166017230097
14	7247.37	202.6147899340026
15	7342.45	217.39693535098417
16	7509.75	214.30293395098442
17	7611.47	201.8878131537414
18	7774.78	179.49070059476617
19	7889.42	176.3373573579915
20	8033.8	149.59558817023984
21	8151.89	141.8443439126143
22	8259.51	125.60999124273515
23	8387.96	64.26397435577728
24	8496.0	0.0
