Group,Virulence factors,Genes
Adherence,Flp/Tad pili,flpL
Adherence,Flp/Tad pili,flpK
Adherence,Flp/Tad pili,flpJ
Adherence,Flp/Tad pili,flpI
Adherence,Flp/Tad pili,flpH
Adherence,Flp/Tad pili,flpG
Adherence,Flp/Tad pili,flpF
Adherence,Flp/Tad pili,flpE
Adherence,Flp/Tad pili,flpD
Adherence,Flp/Tad pili,flpC
Adherence,Flp/Tad pili,flpB
Adherence,Flp/Tad pili,flpA
Adherence,Flp/Tad pili,flp1
Adherence,MSHA type IV pili,mshQ
Adherence,MSHA type IV pili,mshP
Adherence,MSHA type IV pili,mshO
Adherence,MSHA type IV pili,mshD
Adherence,MSHA type IV pili,mshC
Adherence,MSHA type IV pili,mshA
Adherence,MSHA type IV pili,mshB
Adherence,MSHA type IV pili,mshF
Adherence,MSHA type IV pili,mshG
Adherence,MSHA type IV pili,mshE
Adherence,MSHA type IV pili,mshN
Adherence,MSHA type IV pili,mshM
Adherence,MSHA type IV pili,mshL
Adherence,MSHA type IV pili,mshK
Adherence,MSHA type IV pili,mshJ
Adherence,MSHA type IV pili,mshI1
Adherence,MSHA type IV pili,mshI
Adherence,Tap type IV pili,tapD/pilD
Adherence,Tap type IV pili,tapA
Adherence,Tap type IV pili,tapB
Adherence,Tap type IV pili,tapC
Adherence,Tap type IV pili,tapM
Adherence,Tap type IV pili,tapN
Adherence,Tap type IV pili,tapO
Adherence,Tap type IV pili,tapP
Adherence,Tap type IV pili,tapQ
Adherence,Tap type IV pili,tapT
Adherence,Tap type IV pili,tapU
Adherence,Tap type IV pili,tapW
Adherence,Tap type IV pili,tppA
Adherence,Tap type IV pili,tppB
Adherence,Tap type IV pili,tppC
Adherence,Tap type IV pili,tppD
Adherence,Tap type IV pili,tapY1
Adherence,Tap type IV pili,tapY2
Adherence,Tap type IV pili,tppE
Adherence,Tap type IV pili,tppF
Adherence,Tap type IV pili,tapV
Adherence,Tap type IV pili,tapF
Adherence,Type I pili,fimA
Adherence,Type I pili,fimC
Adherence,Type I pili,fimD
Adherence,Type I pili,fimE
Adherence,Type I pili,fimF
"Effector delivery system	",Exe T2SS,exeA
"Effector delivery system	",Exe T2SS,exeB
"Effector delivery system	",Exe T2SS,exeC
"Effector delivery system	",Exe T2SS,exeD
"Effector delivery system	",Exe T2SS,exeE
"Effector delivery system	",Exe T2SS,exeF
"Effector delivery system	",Exe T2SS,exeG
"Effector delivery system	",Exe T2SS,exeH
"Effector delivery system	",Exe T2SS,exeI
"Effector delivery system	",Exe T2SS,exeJ
"Effector delivery system	",Exe T2SS,exeK
"Effector delivery system	",Exe T2SS,exeL
"Effector delivery system	",Exe T2SS,exeM
"Effector delivery system	",Exe T2SS,exeN
"Effector delivery system	",Exe T2SS,tapD/pilD
"Effector delivery system	",T3SS,ascL
"Effector delivery system	",T3SS,ascK
"Effector delivery system	",T3SS,ascJ
"Effector delivery system	",T3SS,ascI
"Effector delivery system	",T3SS,ascH
"Effector delivery system	",T3SS,ascG
"Effector delivery system	",T3SS,ascF
"Effector delivery system	",T3SS,ascE
"Effector delivery system	",T3SS,ascD
"Effector delivery system	",T3SS,ascC
"Effector delivery system	",T3SS,ascB
"Effector delivery system	",T3SS,exsD
"Effector delivery system	",T3SS,exsA
"Effector delivery system	",T3SS,exsB
"Effector delivery system	",T3SS,exsE
"Effector delivery system	",T3SS,exsC
"Effector delivery system	",T3SS,aopD
"Effector delivery system	",T3SS,aopB
"Effector delivery system	",T3SS,acrH
"Effector delivery system	",T3SS,acrV
"Effector delivery system	",T3SS,acrG
"Effector delivery system	",T3SS,acrR
"Effector delivery system	",T3SS,ascV
"Effector delivery system	",T3SS,ascY
"Effector delivery system	",T3SS,ascX
"Effector delivery system	",T3SS,acr2
"Effector delivery system	",T3SS,acr1
"Effector delivery system	",T3SS,aopN
"Effector delivery system	",T3SS,ascN
"Effector delivery system	",T3SS,ascO
"Effector delivery system	",T3SS,ascP
"Effector delivery system	",T3SS,ascQ
"Effector delivery system	",T3SS,ascR
"Effector delivery system	",T3SS,ascS
"Effector delivery system	",T3SS,ascT
"Effector delivery system	",T3SS,ascU
"Effector delivery system	",T3SS,aopX
"Effector delivery system	",T3SS,sycX
"Effector delivery system	",T3SS,sycH
"Effector delivery system	",T3SS,aopH
"Effector delivery system	",T3SS,ati2
"Effector delivery system	",T3SS,ati1
"Effector delivery system	",T3SS,sycO
"Effector delivery system	",T3SS,aopO
"Effector delivery system	",T3SS,aexT
"Effector delivery system	",T6SS,hcp1
"Effector delivery system	",T6SS,hcp
"Effector delivery system	",T6SS,vgrG2
"Effector delivery system	",T6SS,atsA
