WELL ,SUBSTRATE ,289-P1-0 ,289-P2-0 ,289-P3-0 ,289-P1-24,289-P2-24,289-P3-24,289-P1-48,289-P2-48,289-P3-48,289-P1-72,289-P2-72,289-P3-72,289-P1-96,289-P2-96,289-P3-96,289-P1-120,289-P2-120,289-P3-120,358-P1-0,358 -P2-0,358 -P3-0,358 -P1-24,358 -P2-24,358 -P3-24,358 -P1-48,358 -P2-48,358-P3-48,358-P1-72,358-P2-72,358-P3-72,358-P1-96,358-P2-96,358-P3-96,358-P1-120,358-P2-120,358-P3-120,366-P1-0,366-P2-0,366-P3-0,366-P1-24,366-P2-24,366-P3-24,366-P1-48,366-P2-48,366-P3-48,366-P1-72,366-P2-72,366-P3-72,366-P1-96,366-P2-96,366-P3-96,366-P1-120,366-P2-120,366-P3-120
A2,Dextrin,0.016,0.033,0.045,1.002,1.032,0.872,1.152,1.235,1.17,1.131,1.252,1.174,1.107,1.238,1.115,0.975,1.083,1.024,0.035,0.045,0.046,0.789,0.749,0.761,1.003,0.97,1.018,0.923,0.935,0.97,0.908,0.909,0.929,0.876,0.864,0.887,0.027,0.036,0.009,0.791,0.618,0.685,1.024,0.936,1.006,0.978,0.893,0.932,0.901,0.839,0.903,0.926,0.83,0.828
A3,D-Maltose,0.013,0.02,0.04,1.008,0.974,0.901,1.141,1.202,0.966,0.975,1.143,0.832,0.928,0.962,0.727,0.872,0.934,0.802,0.026,0.071,0.034,0.789,0.716,0.728,1.099,1.08,1.029,0.978,1.008,1.012,0.976,0.944,0.928,0.952,0.905,0.947,0.033,0.029,0.001,0.74,0.611,0.715,1.047,0.934,1.012,0.999,0.889,0.982,0.965,0.866,0.93,0.982,0.861,0.887
A4,D-Trehalose,0.013,0.041,0.066,0.985,1.019,0.969,0.979,1.01,1.078,0.962,0.858,1.01,0.962,0.886,0.812,0.99,0.905,0.869,0.024,0.062,0.041,0.882,0.803,0.808,1.002,0.967,0.788,0.986,0.958,0.934,0.951,0.967,0.973,0.903,0.883,0.907,0.041,0.017,0.007,0.693,0.386,0.747,0.867,0.665,0.819,0.955,0.689,0.833,0.936,0.636,0.926,0.924,0.785,0.82
A5,D-Cellobiose,0.003,0.036,0.056,0.072,0.104,0.069,0.078,0.074,0.047,0.048,0.07,0.06,0.047,0.063,0.026,0.049,0.08,0.03,0.03,0.03,0.016,0.15,0.303,0.092,0.137,0.287,0.082,0.119,0.273,0.083,0.132,0.265,0.072,0.115,0.246,0.049,0.025,0.033,-0.009,0.206,0.048,0.078,0.194,0.008,0.056,0.198,0.016,0.041,0.194,0.03,0.077,0.193,-0.006,0.038
A6,Gentiobiose,0.048,0.07,0.105,0.102,0.133,0.095,0.113,0.107,0.08,0.074,0.101,0.088,0.07,0.093,0.058,0.075,0.102,0.06,0.051,0.089,0.061,0.136,0.255,0.111,0.129,0.238,0.097,0.096,0.234,0.095,0.118,0.229,0.321,0.096,0.212,1.436,0.059,0.093,0.03,0.152,0.007,0.042,0.143,0.007,0.026,0.154,0.009,0.013,0.153,0.024,0.055,0.151,-0.02,0.006
A7,Sucrose,0.005,0.057,0.105,1.304,1.258,1.264,1.038,1.362,1.107,0.867,1.192,0.984,0.851,1.158,0.95,0.808,1.028,0.892,0.048,0.083,0.034,1.113,1.105,1.011,1.159,1.121,0.915,1.059,1.032,0.998,1.03,1.034,1.013,0.967,0.961,0.934,0.058,0.014,0.001,0.996,0.739,0.926,1.068,0.96,0.927,1.033,1.022,0.901,1.015,0.974,0.926,0.994,0.947,0.832
A8,D-Turanose,0.026,0.073,0.105,0.132,0.192,0.151,0.123,0.154,0.119,0.109,0.156,0.135,0.116,0.157,0.107,0.123,0.176,0.12,0.044,0.099,0.066,0.162,0.471,0.143,0.167,0.461,0.149,0.141,0.445,0.148,0.174,0.44,0.153,0.15,0.421,0.142,0.069,0.099,0.025,0.354,0.008,0.042,0.349,-0.05,0.078,0.348,-0.016,0.09,0.373,0.133,0.139,0.347,0.123,0.099
A9,Stachyose,0.001,0.049,0.094,0.019,0.053,0.055,0.049,0.053,0.05,0.007,0.042,0.04,0.014,0.032,0.018,0.017,0.049,0.021,0.018,0.064,0.032,0.072,0.136,0.086,0.072,0.133,0.073,0.044,0.119,0.083,0.069,0.113,0.06,0.04,0.092,0.03,0.04,0.049,-0.011,0.089,0.029,0.068,0.077,-0.003,0.05,0.079,0.005,0.042,0.097,0.023,0.078,0.069,-0.014,0.022
A11,pH 6,-0.009,0.053,0.076,1.076,1.051,0.991,1.663,1.66,1.195,1.794,1.855,1.626,1.842,1.933,1.85,1.693,1.793,1.824,0.007,0.014,0.058,1.419,1.382,1.477,1.778,1.66,1.826,1.719,1.708,1.826,1.753,1.644,1.818,1.665,1.673,1.803,-0.003,0.007,-0.024,1.206,1.019,1.197,1.617,1.483,1.578,1.585,1.553,1.63,1.659,1.559,1.71,1.673,1.616,1.678
A12,pH 5,-0.01,0.036,0.043,0.116,0.157,0.099,0.574,0.549,0.216,0.938,1.004,0.767,1.079,1.171,1.084,1.235,1.268,1.205,0.006,-0.006,0.027,0.017,0.032,0.042,0.538,0.481,0.421,0.954,0.938,0.968,1.146,1.098,1.149,1.312,1.261,1.304,-0.005,0.005,-0.024,-0.016,0.007,0.013,0.027,-0.041,0.014,0.323,-0.044,0.425,0.894,0.037,0.961,1.102,0.775,1.04
B1,D-Raffinose,-0.002,0.022,0.025,-0.001,0.058,0.022,-0.008,0.051,0.007,-0.018,0.022,0.008,-0.012,0.027,-0.009,-0.017,0.036,-0.005,0.017,0.057,0.029,0.071,0.123,0.04,0.063,0.119,0.028,0.03,0.09,0.012,0.046,0.095,0.027,0.037,0.093,0.002,0.037,0.023,0,0.044,0.016,0.03,0.037,-0.004,0.014,0.029,-0.009,0.009,0.03,-0.013,0.027,0.037,-0.01,0.003
B2,α-D-Lactose,0.011,0.035,0.072,0,0.047,0.093,0.044,0.017,0.089,-0.006,0.019,0.086,-0.009,0.053,0.073,0.01,0.073,0.07,0.034,0.077,0.082,0.261,0.359,0.09,0.308,0.371,0.085,0.229,0.347,0.102,0.243,0.354,0.091,0.224,0.319,0.097,0.054,0.049,0.03,0.104,0.015,0.19,0.111,0.01,0.175,0.111,0.032,0.189,0.129,0.023,0.183,0.103,0.023,0.204
B3,D-Melibiose,0.005,0.036,0.073,0.063,0.111,0.161,0.082,0.091,0.156,0.037,0.092,0.152,0.054,0.113,0.14,0.069,0.158,0.134,0.042,0.071,0.083,0.376,0.447,0.183,0.446,0.478,0.185,0.357,0.448,0.215,0.368,0.448,0.19,0.347,0.411,0.191,0.038,0.022,0.063,0.191,0.039,0.241,0.212,-0.004,0.225,0.208,-0.004,0.262,0.227,0.003,0.24,0.193,-0.005,0.277
B4,β-Methyl-D-Glucoside,0.03,0.054,0.113,1.087,1.042,1.011,1.13,1.043,1.119,1.045,1.061,1.133,1.006,1.071,0.94,0.98,1.132,0.923,0.057,0.081,0.108,0.941,0.923,0.896,1.06,0.999,0.787,0.955,0.961,0.86,0.989,0.977,0.93,0.93,0.904,0.948,0.046,0.032,0.068,0.871,0.47,0.845,0.884,0.612,0.835,0.912,0.572,0.84,0.987,0.544,0.903,0.918,0.571,0.929
