module	KMM289	KMM358	KMM366
M00001	1	1	1
M00002	1	1	1
M00003	1	1	1
M00005	1	1	1
M00007	1	1	1
M00009	1	1	1
M00010	1	1	1
M00011	1	1	1
M00012	1	1	1
M00015	1	1	1
M00016	1	1	1
M00017	1	1	1
M00018	1	1	1
M00019	1	1	1
M00020	1	1	1
M00021	1	1	1
M00022	1	1	1
M00023	1	1	1
M00024	1	1	1
M00025	1	1	1
M00026	1	1	1
M00028	1	1	1
M00036	1	1	1
M00044	1	1	1
M00045	1	1	1
M00048	1	1	1
M00049	1	1	1
M00050	1	1	1
M00051	1	1	1
M00052	1	1	1
M00053	1	1	1
M00060	1	1	1
M00063	1	1	1
M00064	1	1	1
M00082	1	1	1
M00083	1	1	1
M00086	1	1	1
M00087	1	1	1
M00093	1	1	1
M00096	1	1	1
M00115	1	1	1
M00116	1	1	1
M00117	1	1	1
M00118	1	1	1
M00119	1	1	1
M00120	1	1	1
M00121	1	1	1
M00123	1	1	1
M00124	1	1	1
M00125	1	1	1
M00126	1	1	1
M00127	1	1	1
M00140	1	1	1
M00144	1	1	1
M00149	1	1	1
M00150	1	1	1
M00151	1	1	1
M00153	1	1	1
M00156	1	1	1
M00157	1	1	1
M00165	1	1	1
M00176	1	1	1
M00307	1	1	1
M00308	1	0	0
M00345	0	1	1
M00364	1	1	1
M00432	1	1	1
M00526	1	1	1
M00527	1	1	1
M00530	1	1	1
M00549	1	1	1
M00550	1	0	0
M00554	1	1	1
M00570	1	1	1
M00572	1	1	1
M00577	1	1	1
M00579	1	1	1
M00616	0	1	1
M00621	1	1	1
M00632	1	1	1
M00649	1	1	1
M00793	1	1	1
M00844	1	1	1
M00846	1	1	1
M00854	1	1	1
M00855	1	1	1
M00866	1	1	1
M00868	1	1	1
M00879	1	1	1
M00880	1	1	1
M00881	1	1	1
M00909	1	1	1
M00923	1	0	0
M00926	1	1	1
M00938	1	1	1
M00950	1	1	1
M00958	1	1	1
M00959	1	1	1
M00970	1	1	1
M00978	1	1	1
M00982	1	1	1
M00986	1	1	1
M00988	1	1	1
M00989	1	1	1
M00995	1	1	1
M00996	1	1	1
M00999	1	1	1
M01004	1	1	1
M01006	0	1	1
M01009	1	1	1
M01016	0	1	1
M01022	1	1	1
