module	KMM289	KMM358	KMM366
M00001	1.0	1.0	1.0
M00002	1.0	1.0	1.0
M00003	1.0	1.0	1.0
M00004	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00005	1.0	1.0	1.0
M00007	1.0	1.0	1.0
M00008	0.5	0.5	0.5
M00009	0.875	0.875	0.875
M00010	1.0	1.0	1.0
M00011	0.8	0.8	0.8
M00012	0.8	0.8	0.8
M00013	0.4	0.4	0.4
M00014	0.125	0.125	0.125
M00015	1.0	1.0	1.0
M00016	1.0	1.0	1.0
M00017	1.0	1.0	1.0
M00018	1.0	1.0	1.0
M00019	1.0	1.0	1.0
M00020	1.0	1.0	1.0
M00021	1.0	1.0	1.0
M00022	1.0	1.0	1.0
M00023	1.0	1.0	1.0
M00024	1.0	1.0	1.0
M00025	1.0	1.0	1.0
M00026	1.0	1.0	1.0
M00027	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00028	1.0	1.0	1.0
M00029	0.6	0.6	0.6
M00033	0.4	0.4	0.4
M00034	0.375	0.375	0.375
M00035	0.5	0.5	0.5
M00036	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00040	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00044	1.0	1.0	1.0
M00045	1.0	1.0	1.0
M00046	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00048	1.0	1.0	1.0
M00049	1.0	1.0	1.0
M00050	1.0	1.0	1.0
M00051	1.0	1.0	1.0
M00052	1.0	1.0	1.0
M00053	1.0	1.0	1.0
M00060	1.0	1.0	1.0
M00061	0.4	0.2	0.2
M00063	1.0	1.0	1.0
M00064	1.0	1.0	1.0
M00079	0.2	0.2	0.2
M00082	1.0	1.0	1.0
M00083	1.0	1.0	1.0
M00086	1.0	1.0	1.0
M00087	1.0	1.0	1.0
M00088	0.4	0.4	0.4
M00089	0.25	0.25	0.25
M00093	1.0	1.0	1.0
M00095	0.2857142857142857	0.2857142857142857	0.2857142857142857
M00096	1.0	1.0	1.0
M00098	0.5	0.5	0.5
M00114	0.125	0.125	0.125
M00115	1.0	1.0	1.0
M00116	1.0	1.0	1.0
M00117	1.0	1.0	1.0
M00118	1.0	1.0	1.0
M00119	0.8	0.8	0.8
M00120	1.0	1.0	1.0
M00121	1.0	1.0	1.0
M00122	0.2857142857142857	0.2857142857142857	0.2857142857142857
M00123	1.0	1.0	1.0
M00124	1.0	1.0	1.0
M00125	1.0	1.0	1.0
M00126	1.0	1.0	1.0
M00127	1.0	1.0	1.0
M00129	0.2857142857142857	0.2857142857142857	0.2857142857142857
M00131	0.25	0.25	0.25
M00133	0.25	0.25	0.25
M00134	0.5	0.5	0.5
M00136	0.5	0.5	0.5
M00140	1.0	1.0	1.0
M00141	0.5	0.5	0.5
M00144	1.0	1.0	1.0
M00149	1.0	1.0	1.0
M00150	1.0	1.0	1.0
M00151	1.0	1.0	1.0
M00153	1.0	1.0	1.0
M00156	1.0	1.0	1.0
M00157	1.0	1.0	1.0
M00165	0.8181818181818182	0.8181818181818182	0.8181818181818182
M00168	0.5	0.5	0.5
M00169	0.5	0.5	0.5
M00170	0.5	0.5	0.5
M00171	0.14285714285714285	0.14285714285714285	0.14285714285714285
M00172	0.5	0.5	0.5
M00173	0.7	0.7	0.7
M00176	1.0	1.0	1.0
M00307	1.0	1.0	1.0
M00308	0.75	0.5	0.5
M00344	0.5	0.5	0.5
M00345	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00346	0.4444444444444444	0.4444444444444444	0.4444444444444444
M00357	0.2	0.2	0.2
M00364	1.0	1.0	1.0
M00365	0.5	0.5	0.5
M00366	0.25	0.25	0.25
M00367	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00368	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00373	0.08333333333333333	0.08333333333333333	0.08333333333333333
M00374	0.38461538461538464	0.38461538461538464	0.38461538461538464
M00375	0.07142857142857142	0.07142857142857142	0.07142857142857142
M00376	0.15384615384615385	0.15384615384615385	0.15384615384615385
M00377	0.42857142857142855	0.42857142857142855	0.42857142857142855
M00432	1.0	1.0	1.0
M00525	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00526	0.8333333333333334	0.8333333333333334	0.8333333333333334
M00527	0.8571428571428571	0.8571428571428571	0.8571428571428571
M00529	0.25	0.25	0.25
M00530	1.0	0.5	0.5
M00532	0.3	0.3	0.3
M00535	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00542	0.125	0.125	0.125
M00546	0.2	0.2	0.2
M00549	1.0	1.0	1.0
M00550	1.0	0.2	0.2
M00552	0.4	0.4	0.4
M00554	1.0	1.0	1.0
M00564	0.0	0.0	0.043478260869565216
M00565	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00570	1.0	1.0	1.0
M00572	0.8333333333333334	0.8333333333333334	0.8333333333333334
M00573	0.6	0.6	0.6
M00574	0.0	0.25	0.25
M00575	0.2	0.2	0.2
M00577	0.8	0.8	0.8
M00579	1.0	1.0	1.0
M00580	0.5	0.5	0.5
M00609	0.5	0.5	0.5
M00611	0.5	0.5	0.5
M00612	0.5	0.5	0.5
M00616	0.5	0.5	0.5
M00618	0.5	0.5	0.5
M00620	0.14285714285714285	0.14285714285714285	0.14285714285714285
M00621	1.0	1.0	1.0
M00627	0.0	0.0	0.3333333333333333
M00631	0.4	0.2	0.2
M00632	1.0	1.0	1.0
M00642	0.5	0.5	0.5
M00649	1.0	1.0	1.0
M00664	0.25	0.25	0.25
M00698	0.5	0.5	0.5
M00704	0.5	0.5	0.5
M00718	0.5	0.5	0.5
M00726	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00740	0.18181818181818182	0.18181818181818182	0.18181818181818182
M00744	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00761	0.2	0.2	0.2
M00769	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00793	1.0	1.0	1.0
M00835	0.14285714285714285	0.0	0.0
M00840	0.42857142857142855	0.42857142857142855	0.42857142857142855
M00841	0.4	0.4	0.4
M00842	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00843	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00844	1.0	1.0	1.0
M00845	0.7142857142857143	0.7142857142857143	0.7142857142857143
M00846	1.0	1.0	1.0
M00849	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00850	0.3333333333333333	0.16666666666666666	0.16666666666666666
M00854	1.0	1.0	1.0
M00855	1.0	1.0	1.0
M00856	0.0	0.25	0.25
M00866	0.8888888888888888	0.8888888888888888	0.8888888888888888
M00867	0.2	0.2	0.2
M00868	0.75	0.75	0.75
M00873	0.16666666666666666	0.16666666666666666	0.16666666666666666
M00874	0.3333333333333333	0.3333333333333333	0.3333333333333333
