module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings	pathwise_copy_number	stepwise_copy_number	per_step_copy_numbers
M00001	KMM289	KMM289	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K24182,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00134,K00134,K00845,K00850,K00873,K00873,K00873,K00886,K00927,K01624,K01689,K01803,K01803,K01810,K06859,K15633,K25026	1923,3531,3738,615,2504,1315,3740,3341,1783,1782,1860,614,1699,2647,541,2359,1785	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00845 is present in multiple modules: M00001/M00549,K00850 is present in multiple modules: M00001/M00345,K00873 is present in multiple modules: M00001/M00002,K00886 is present in multiple modules: M00001/M00549,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00345/M00344/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K01810 is present in multiple modules: M00001/M00004,K06859 is present in multiple modules: M00001/M00004,K15633 is present in multiple modules: M00001/M00002/M00003,K25026 is present in multiple modules: M00001/M00549	1	1	3,2,1,1,2,1,1,1,3
M00002	KMM289	KMM289	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00134,K00134,K00873,K00873,K00873,K00927,K01689,K01803,K01803,K15633	1923,3531,2504,1315,3740,1783,1860,614,1699,2359	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00873 is present in multiple modules: M00001/M00002,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K15633 is present in multiple modules: M00001/M00002/M00003	1	1	2,1,1,1,3
M00003	KMM289	KMM289	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) (K01689,K27394) (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00134,K00134,K00927,K01610,K01624,K01689,K01803,K01803,K02446,K03841,K15633	1923,3531,1783,2956,1782,1860,614,1699,2256,171,2359	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01610 is present in multiple modules: M00003/M00170,K01624 is present in multiple modules: M00001/M00003/M00165/M00345/M00344/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K02446 is present in multiple modules: M00003/M00165/M00611/M00612,K03841 is present in multiple modules: M00003/M00165/M00344/M00611/M00612,K15633 is present in multiple modules: M00001/M00002/M00003	1	1	1,1,1,1,2,2,1
M00307	KMM289	KMM289	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737"	1.0	True	1.0	True	1.0	K00163,K00627	1,1	K00163,K00382,K00627,K03737,K03737	2124,2122,2123,3634,1141	K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K03737 is present in multiple modules: M00307/M00173/M00614	2	3	3
M00009	KMM289	KMM289	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942,K01659) (K01681,K27802,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.875	True	0.875	True	NA	No enzymes unique to module	NA	K00030,K00031,K00164,K00239,K00239,K00240,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K00382,K00658,K01647,K01659,K01676,K01682,K01902,K01903	1554,4043,723,3601,725,3600,724,727,726,3601,3600,3599,3598,2122,722,729,440,396,2118,720,721	K00030 is present in multiple modules: M00009/M00010,K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614,K00164 is present in multiple modules: M00009/M00011,K00239 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00240 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00242 is present in multiple modules: M00009/M00011/M00982/M00173/M00149/M00613/M00614,K00244 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00245 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00246 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00247 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00658 is present in multiple modules: M00009/M00011/M00032,K01647 is present in multiple modules: M00009/M00010/M00012/M00740,K01659 is present in multiple modules: M00009/M00010/M00012/M00740/M00982,K01676 is present in multiple modules: M00009/M00011/M00982/M00173/M00613/M00614,K01682 is present in multiple modules: M00009/M00010/M00012/M00982/M00173/M00614,K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614	1	0	2,1,2,1,1,1,1,0
M00010	KMM289	KMM289	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942,K01659) (K01681,K27802,K01682) (K00031,K00030)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00030,K00031,K01647,K01659,K01682	1554,4043,729,440,2118	K00030 is present in multiple modules: M00009/M00010,K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614,K01647 is present in multiple modules: M00009/M00010/M00012/M00740,K01659 is present in multiple modules: M00009/M00010/M00012/M00740/M00982,K01682 is present in multiple modules: M00009/M00010/M00012/M00982/M00173/M00614	1	1	2,1,2
M00011	KMM289	KMM289	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.8	True	0.8	True	NA	No enzymes unique to module	NA	K00164,K00239,K00239,K00240,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K00382,K00658,K01676,K01902,K01903	723,3601,725,3600,724,727,726,3601,3600,3599,3598,2122,722,396,720,721	K00164 is present in multiple modules: M00009/M00011,K00239 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00240 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00242 is present in multiple modules: M00009/M00011/M00982/M00173/M00149/M00613/M00614,K00244 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00245 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00246 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00247 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00658 is present in multiple modules: M00009/M00011/M00032,K01676 is present in multiple modules: M00009/M00011/M00982/M00173/M00613/M00614,K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614	1	0	1,1,1,1,0
M00004	KMM289	KMM289	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 ((K00616 (K01810,K06859,K15916)),K13810)"	0.6666666666666666	False	0.7142857142857143	False	NA	No enzymes unique to module	NA	K00615,K00616,K01783,K01807,K01810,K06859	1499,1514,3622,4081,2647,541	K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K00616 is present in multiple modules: M00004/M00007,K01783 is present in multiple modules: M00004/M00007/M00165,K01807 is present in multiple modules: M00004/M00007/M00580/M00165/M00611/M00612,K01810 is present in multiple modules: M00001/M00004,K06859 is present in multiple modules: M00001/M00004	0	0	0,0,1,1,1,1
M00007	KMM289	KMM289	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00615 (K00616,K13810) K01783 (K01807,K01808)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00615,K00616,K01783,K01807	1499,1514,3622,4081	K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K00616 is present in multiple modules: M00004/M00007,K01783 is present in multiple modules: M00004/M00007/M00165,K01807 is present in multiple modules: M00004/M00007/M00580/M00165/M00611/M00612	1	1	1,1,1,1
M00580	KMM289	KMM289	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K08094 (K08093,K13812),K13831) K01807"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K01807	4081	K01807 is present in multiple modules: M00004/M00007/M00580/M00165/M00611/M00612	0	0	0,1
