module	db_name	module_name	module_substrates	module_intermediates	module_products	pathwise_module_completeness	stepwise_module_completeness
M00001	KMM289	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	alpha-D-Glucose	Glycerone phosphate,3-Phospho-D-glyceroyl phosphate,D-Fructose 1,6-bisphosphate,D-Fructose 6-phosphate,Phosphoenolpyruvate,alpha-D-Glucose 6-phosphate,D-Glyceraldehyde 3-phosphate,3-Phospho-D-glycerate,2-Phospho-D-glycerate	Pyruvate	1.0	1.0
M00002	KMM289	Glycolysis, core module involving three-carbon compounds	Glycerone phosphate	3-Phospho-D-glyceroyl phosphate,Phosphoenolpyruvate,D-Glyceraldehyde 3-phosphate,3-Phospho-D-glycerate,2-Phospho-D-glycerate	Pyruvate	1.0	1.0
M00003	KMM289	Gluconeogenesis, oxaloacetate => fructose-6P	Oxaloacetate	Glycerone phosphate,3-Phospho-D-glyceroyl phosphate,D-Fructose 1,6-bisphosphate,Phosphoenolpyruvate,D-Glyceraldehyde 3-phosphate,3-Phospho-D-glycerate,2-Phospho-D-glycerate	D-Fructose 6-phosphate	1.0	1.0
M00307	KMM289	Pyruvate oxidation, pyruvate => acetyl-CoA	Pyruvate	2-(alpha-Hydroxyethyl)thiamine diphosphate,Enzyme N6-(lipoyl)lysine,[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine,Thiamin diphosphate,Enzyme N6-(dihydrolipoyl)lysine	Acetyl-CoA	1.0	1.0
M00009	KMM289	Citrate cycle (TCA cycle, Krebs cycle)	Acetyl-CoA	Isocitrate,Succinate,(S)-Malate,Enzyme N6-(lipoyl)lysine,Fumarate,Oxaloacetate,2-Oxoglutarate,Succinyl-CoA,Citrate,[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine,Enzyme N6-(dihydrolipoyl)lysine	None	0.875	0.875
M00010	KMM289	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Oxaloacetate,Acetyl-CoA	Citrate,Isocitrate	2-Oxoglutarate	1.0	1.0
M00011	KMM289	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	2-Oxoglutarate	Succinate,(S)-Malate,Enzyme N6-(lipoyl)lysine,Fumarate,Succinyl-CoA,[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine,Enzyme N6-(dihydrolipoyl)lysine	Oxaloacetate	0.8	0.8
M00004	KMM289	Pentose phosphate pathway (Pentose phosphate cycle)	None	D-Ribose 5-phosphate,6-Phospho-D-gluconate,Sedoheptulose 7-phosphate,D-Fructose 6-phosphate,beta-D-Glucose 6-phosphate,alpha-D-Glucose 6-phosphate,D-Xylulose 5-phosphate,D-Ribulose 5-phosphate,D-Glyceraldehyde 3-phosphate,D-Erythrose 4-phosphate,D-Glucono-1,5-lactone 6-phosphate	None	0.7142857142857143	0.6666666666666666
M00007	KMM289	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	D-Fructose 6-phosphate	Sedoheptulose 7-phosphate,D-Xylulose 5-phosphate,D-Glyceraldehyde 3-phosphate,D-Ribulose 5-phosphate,D-Erythrose 4-phosphate	D-Ribose 5-phosphate	1.0	1.0
M00580	KMM289	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	D-Fructose 6-phosphate	D-arabino-Hex-3-ulose 6-phosphate,D-Ribulose 5-phosphate	D-Ribose 5-phosphate	0.5	0.5
