MODULE,accession,compound involved,compound name,,
"Ascorbate degradation, ascorbate => D-xylulose-5P",M00550,"	
C00072 ","	Ascorbate",,
"Ascorbate degradation, ascorbate => D-xylulose-5P",M00550,"
C16186",L-Ascorbate 6-phosphate,,
"Ascorbate degradation, ascorbate => D-xylulose-5P",M00550,"
C14899 ","	3-Dehydro-L-gulonate 6-phosphate",,
"Ascorbate degradation, ascorbate => D-xylulose-5P",M00550,C03291 ,L-Xylulose 5-phosphate,,
"Ascorbate degradation, ascorbate => D-xylulose-5P",M00550,C01101,L-Ribulose 5-phosphate,,
"Ascorbate degradation, ascorbate => D-xylulose-5P",M00550,C00231,"	D-Xylulose 5-phosphate",,
"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",M00308,"	
C00257 ",D-Gluconic acid,,
"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",M00308,C00204,2-Dehydro-3-deoxy-D-gluconate,,
"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",M00308,C04442,2-Dehydro-3-deoxy-6-phospho-D-gluconate,,
"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",M00308,C00118 ,"	D-Glyceraldehyde 3-phosphate",,
"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",M00308,C00022 ,Pyruvate,,
"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",M00308,C00236,3-Phospho-D-glyceroyl phosphate,,
"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",M00308,C00197 ,3-Phospho-D-glycerate,,
"UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc",M00923,C00043 ,"	UDP-N-acetyl-alpha-D-glucosamine",,
"UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc",M00923,"
C19823 ","	UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose",,
"UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc",M00923,C20769,"UDP-2-acetamido-2,6-dideoxy-beta-L-lyxo-4-hexulose",,
"UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc",M00923,C20768,"UDP-2-acetamido-2,6-dideoxy-beta-L-talose",,
"UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc",M00923,C20774 ,"	UDP-N-acetyl-beta-L-fucosamine",,
"Formaldehyde assimilation, ribulose monophosphate pathway",M00345,C00199  ,D-Ribulose 5-phosphate,,
"Formaldehyde assimilation, ribulose monophosphate pathway",M00345,C00067  ,Formaldehyde,,
"Formaldehyde assimilation, ribulose monophosphate pathway",M00345,C06019  ,D-arabino-Hex-3-ulose 6-phosphate,,
"Formaldehyde assimilation, ribulose monophosphate pathway",M00345,C00085  ,D-Fructose 6-phosphate,,
"Formaldehyde assimilation, ribulose monophosphate pathway",M00345,C00354  ,"D-Fructose 1,6-bisphosphate",,
"Formaldehyde assimilation, ribulose monophosphate pathway",M00345,C00118  ,D-Glyceraldehyde 3-phosphate,,
"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N",M01006,C00085  ,D-Fructose 6-phosphate,,
"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N",M01006,C00275  ,D-Mannose 6-phosphate,,
"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N",M01006,C00636  ,D-Mannose 1-phosphate,,
"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N",M01006,C00096  ,GDP-mannose,,
"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N",M01006,C01222  ,GDP-4-dehydro-6-deoxy-D-mannose,,
"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N",M01006,C20638  ,"GDP-4-amino-4,6-dideoxy-alpha-D-mannose",,
"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc",M01016,C00096  ,GDP-mannose,,
"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc",M01016,C01222  ,GDP-4-dehydro-6-deoxy-D-mannose,,
"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc",M01016,C00325  ,GDP-L-fucose,,
Sulfate-sulfur assimilation,M00616,,,,
,,,,,
,,,,,
,,,,,
