MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_ Freshwater	N_ Freshwater	p_ Anadromous1	N_ Anadromous1	p_ Anadromous2	N_ Anadromous2
Ascorbate degradation, ascorbate => D-xylulose-5P	3.0000011016700983	0.22313003724055094	1	Freshwater	M00550	KMM289	1	1	0	1	0	1
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	3.0000011016700983	0.22313003724055094	1	Freshwater	M00308	KMM289	1	1	0	1	0	1
UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc	3.0000011016700983	0.22313003724055094	1	Freshwater	M00923	KMM289	1	1	0	1	0	1
Formaldehyde assimilation, ribulose monophosphate pathway	3.0000011016700965	0.22313003724055114	1	Anadromous1, Anadromous2	M00345	KMM358,KMM366	0	1	1	1	1	1
GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N	3.0000011016700965	0.22313003724055114	1	Anadromous1, Anadromous2	M01006	KMM358,KMM366	0	1	1	1	1	1
GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc	3.0000011016700965	0.22313003724055114	1	Anadromous1, Anadromous2	M01016	KMM358,KMM366	0	1	1	1	1	1
Sulfate-sulfur assimilation	3.0000011016700965	0.22313003724055114	1	Anadromous1, Anadromous2	M00616	KMM358,KMM366	0	1	1	1	1	1
ADP-LDmanHep biosynthesis, sedoheptulose-7P => ADP-LDmanHep	2.342515690664165e-41	1	1	NA	M00064	KMM289,KMM358,KMM366	1	1	1	1	1	1
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	2.342515690664165e-41	1	1	NA	M00049	KMM289,KMM358,KMM366	1	1	1	1	1	1
Adenine ribonucleotide degradation, AMP => Urate	2.342515690664165e-41	1	1	NA	M00958	KMM289,KMM358,KMM366	1	1	1	1	1	1
Arginine biosynthesis, ornithine => arginine	2.342515690664165e-41	1	1	NA	M00844	KMM289,KMM358,KMM366	1	1	1	1	1	1
Arginine succinyltransferase pathway, arginine => glutamate	2.342515690664165e-41	1	1	NA	M00879	KMM289,KMM358,KMM366	1	1	1	1	1	1
Assimilatory sulfate reduction, sulfate => H2S	2.342515690664165e-41	1	1	NA	M00176	KMM289,KMM358,KMM366	1	1	1	1	1	1
Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	2.342515690664165e-41	1	1	NA	M00950	KMM289,KMM358,KMM366	1	1	1	1	1	1
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	2.342515690664165e-41	1	1	NA	M00577	KMM289,KMM358,KMM366	1	1	1	1	1	1
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	2.342515690664165e-41	1	1	NA	M00123	KMM289,KMM358,KMM366	1	1	1	1	1	1
C1-unit interconversion, prokaryotes	2.342515690664165e-41	1	1	NA	M00140	KMM289,KMM358,KMM366	1	1	1	1	1	1
C10-C20 isoprenoid biosynthesis, bacteria	2.342515690664165e-41	1	1	NA	M00364	KMM289,KMM358,KMM366	1	1	1	1	1	1
C5 isoprenoid biosynthesis, non-mevalonate pathway	2.342515690664165e-41	1	1	NA	M00096	KMM289,KMM358,KMM366	1	1	1	1	1	1
CMP-KDO biosynthesis, ribulose-5P => CMP-KDO	2.342515690664165e-41	1	1	NA	M00063	KMM289,KMM358,KMM366	1	1	1	1	1	1
Citrate cycle (TCA cycle, Krebs cycle)	2.342515690664165e-41	1	1	NA	M00009	KMM289,KMM358,KMM366	1	1	1	1	1	1
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	2.342515690664165e-41	1	1	NA	M00010	KMM289,KMM358,KMM366	1	1	1	1	1	1
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	2.342515690664165e-41	1	1	NA	M00011	KMM289,KMM358,KMM366	1	1	1	1	1	1
Coenzyme A biosynthesis, pantothenate => CoA	2.342515690664165e-41	1	1	NA	M00120	KMM289,KMM358,KMM366	1	1	1	1	1	1
Cysteine biosynthesis, serine => cysteine	2.342515690664165e-41	1	1	NA	M00021	KMM289,KMM358,KMM366	1	1	1	1	1	1
Cytochrome bc1 complex respiratory unit	2.342515690664165e-41	1	1	NA	M00151	KMM289,KMM358,KMM366	1	1	1	1	1	1
Cytochrome bd ubiquinol oxidase	2.342515690664165e-41	1	1	NA	M00153	KMM289,KMM358,KMM366	1	1	1	1	1	1
Cytochrome c oxidase, cbb3-type	2.342515690664165e-41	1	1	NA	M00156	KMM289,KMM358,KMM366	1	1	1	1	1	1
De novo purine biosynthesis, PRPP + glutamine => IMP	2.342515690664165e-41	1	1	NA	M00048	KMM289,KMM358,KMM366	1	1	1	1	1	1
De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	2.342515690664165e-41	1	1	NA	M00051	KMM289,KMM358,KMM366	1	1	1	1	1	1
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	2.342515690664165e-41	1	1	NA	M00053	KMM289,KMM358,KMM366	1	1	1	1	1	1
Dissimilatory nitrate reduction, nitrate => ammonia	2.342515690664165e-41	1	1	NA	M00530	KMM289,KMM358,KMM366	1	1	1	1	1	1
F-type ATPase, prokaryotes and chloroplasts	2.342515690664165e-41	1	1	NA	M00157	KMM289,KMM358,KMM366	1	1	1	1	1	1
Fatty acid biosynthesis, elongation	2.342515690664165e-41	1	1	NA	M00083	KMM289,KMM358,KMM366	1	1	1	1	1	1
Fatty acid biosynthesis, initiation	2.342515690664165e-41	1	1	NA	M00082	KMM289,KMM358,KMM366	1	1	1	1	1	1
Fumarate reductase, prokaryotes	2.342515690664165e-41	1	1	NA	M00150	KMM289,KMM358,KMM366	1	1	1	1	1	1
Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	2.342515690664165e-41	1	1	NA	M00632	KMM289,KMM358,KMM366	1	1	1	1	1	1
Gluconeogenesis, oxaloacetate => fructose-6P	2.342515690664165e-41	1	1	NA	M00003	KMM289,KMM358,KMM366	1	1	1	1	1	1
Glutathione biosynthesis, glutamate => glutathione	2.342515690664165e-41	1	1	NA	M00118	KMM289,KMM358,KMM366	1	1	1	1	1	1
Glycine cleavage system	2.342515690664165e-41	1	1	NA	M00621	KMM289,KMM358,KMM366	1	1	1	1	1	1
Glycogen biosynthesis, glucose-1P => glycogen/starch	2.342515690664165e-41	1	1	NA	M00854	KMM289,KMM358,KMM366	1	1	1	1	1	1
Glycogen degradation, glycogen => glucose-6P	2.342515690664165e-41	1	1	NA	M00855	KMM289,KMM358,KMM366	1	1	1	1	1	1
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	2.342515690664165e-41	1	1	NA	M00001	KMM289,KMM358,KMM366	1	1	1	1	1	1
Glycolysis, core module involving three-carbon compounds	2.342515690664165e-41	1	1	NA	M00002	KMM289,KMM358,KMM366	1	1	1	1	1	1
Glyoxylate cycle	2.342515690664165e-41	1	1	NA	M00012	KMM289,KMM358,KMM366	1	1	1	1	1	1
Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	2.342515690664165e-41	1	1	NA	M00050	KMM289,KMM358,KMM366	1	1	1	1	1	1
Guanine ribonucleotide degradation, GMP => Urate	2.342515690664165e-41	1	1	NA	M00959	KMM289,KMM358,KMM366	1	1	1	1	1	1
Heme biosynthesis, animals and fungi, glycine => heme	2.342515690664165e-41	1	1	NA	M00868	KMM289,KMM358,KMM366	1	1	1	1	1	1
Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	2.342515690664165e-41	1	1	NA	M00926	KMM289,KMM358,KMM366	1	1	1	1	1	1
Heme biosynthesis, plants and bacteria, glutamate => heme	2.342515690664165e-41	1	1	NA	M00121	KMM289,KMM358,KMM366	1	1	1	1	1	1
Histidine biosynthesis, PRPP => histidine	2.342515690664165e-41	1	1	NA	M00026	KMM289,KMM358,KMM366	1	1	1	1	1	1
Histidine degradation, histidine => N-formiminoglutamate => glutamate	2.342515690664165e-41	1	1	NA	M00045	KMM289,KMM358,KMM366	1	1	1	1	1	1
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	2.342515690664165e-41	1	1	NA	M00570	KMM289,KMM358,KMM366	1	1	1	1	1	1
KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	2.342515690664165e-41	1	1	NA	M00060	KMM289,KMM358,KMM366	1	1	1	1	1	1
KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	2.342515690664165e-41	1	1	NA	M00866	KMM289,KMM358,KMM366	1	1	1	1	1	1
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	2.342515690664165e-41	1	1	NA	M00432	KMM289,KMM358,KMM366	1	1	1	1	1	1
Leucine degradation, leucine => acetoacetate + acetyl-CoA	2.342515690664165e-41	1	1	NA	M00036	KMM289,KMM358,KMM366	1	1	1	1	1	1
Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	2.342515690664165e-41	1	1	NA	M00881	KMM289,KMM358,KMM366	1	1	1	1	1	1
Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	2.342515690664165e-41	1	1	NA	M00527	KMM289,KMM358,KMM366	1	1	1	1	1	1
Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	2.342515690664165e-41	1	1	NA	M00526	KMM289,KMM358,KMM366	1	1	1	1	1	1
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	2.342515690664165e-41	1	1	NA	M00016	KMM289,KMM358,KMM366	1	1	1	1	1	1
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	2.342515690664165e-41	1	1	NA	M00116	KMM289,KMM358,KMM366	1	1	1	1	1	1
Methionine biosynthesis, aspartate => homoserine => methionine	2.342515690664165e-41	1	1	NA	M00017	KMM289,KMM358,KMM366	1	1	1	1	1	1
Methylcitrate cycle	2.342515690664165e-41	1	1	NA	M00982	KMM289,KMM358,KMM366	1	1	1	1	1	1
Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	2.342515690664165e-41	1	1	NA	M00880	KMM289,KMM358,KMM366	1	1	1	1	1	1
Multidrug resistance, efflux pump AdeABC	2.342515690664165e-41	1	1	NA	M00649	KMM289,KMM358,KMM366	1	1	1	1	1	1
NAD biosynthesis, aspartate => quinolinate => NAD	2.342515690664165e-41	1	1	NA	M00115	KMM289,KMM358,KMM366	1	1	1	1	1	1
NADH:quinone oxidoreductase, prokaryotes	2.342515690664165e-41	1	1	NA	M00144	KMM289,KMM358,KMM366	1	1	1	1	1	1
Ornithine biosynthesis, glutamate => ornithine	2.342515690664165e-41	1	1	NA	M00028	KMM289,KMM358,KMM366	1	1	1	1	1	1
Ornithine-ammonia cycle	2.342515690664165e-41	1	1	NA	M00978	KMM289,KMM358,KMM366	1	1	1	1	1	1
PRPP biosynthesis, ribose 5P => PRPP	2.342515690664165e-41	1	1	NA	M00005	KMM289,KMM358,KMM366	1	1	1	1	1	1
Pantothenate biosynthesis, valine/L-aspartate => pantothenate	2.342515690664165e-41	1	1	NA	M00119	KMM289,KMM358,KMM366	1	1	1	1	1	1
