gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	c_1	3	2259	f	0	1	Prodigal	002006
2	c_1	2345	2906	f	0	1	Prodigal	002006
3	c_1	2961	3678	f	0	1	Prodigal	002006
4	c_1	3814	5395	r	0	1	Prodigal	002006
5	c_1	5519	6086	r	0	1	Prodigal	002006
6	c_1	6791	7238	r	0	1	Prodigal	002006
7	c_1	7450	8503	f	0	1	Prodigal	002006
8	c_1	8577	9714	f	0	1	Prodigal	002006
9	c_1	9767	10103	f	0	1	Prodigal	002006
10	c_1	10121	11975	f	0	1	Prodigal	002006
11	c_1	11985	12933	f	0	1	Prodigal	002006
12	c_1	13017	13386	f	0	1	Prodigal	002006
13	c_1	13476	14421	f	0	1	Prodigal	002006
14	c_1	14486	15359	r	0	1	Prodigal	002006
15	c_1	15370	16366	r	0	1	Prodigal	002006
16	c_1	16555	17089	f	0	1	Prodigal	002006
17	c_1	17041	17458	r	0	1	Prodigal	002006
18	c_1	17645	18368	f	0	1	Prodigal	002006
19	c_1	18421	18964	f	0	1	Prodigal	002006
20	c_1	18990	20232	f	0	1	Prodigal	002006
21	c_1	20273	20657	f	0	1	Prodigal	002006
22	c_1	20672	20996	f	0	1	Prodigal	002006
23	c_1	21114	21633	f	0	1	Prodigal	002006
24	c_1	21661	23509	f	0	1	Prodigal	002006
25	c_1	23510	23849	f	0	1	Prodigal	002006
26	c_1	24022	25327	f	0	1	Prodigal	002006
27	c_1	25323	26607	f	0	1	Prodigal	002006
28	c_1	26874	27303	f	0	1	Prodigal	002006
29	c_1	27470	28574	f	0	1	Prodigal	002006
30	c_1	28600	29377	f	0	1	Prodigal	002006
31	c_1	29366	30335	f	0	1	Prodigal	002006
32	c_1	30345	31461	f	0	1	Prodigal	002006
33	c_1	31599	32877	f	0	1	Prodigal	002006
34	c_1	32880	33531	f	0	1	Prodigal	002006
35	c_1	33523	34708	f	0	1	Prodigal	002006
36	c_1	34782	36279	f	0	1	Prodigal	002006
37	c_1	36427	36652	f	0	1	Prodigal	002006
38	c_1	36695	36887	r	0	1	Prodigal	002006
39	c_1	37018	38503	r	0	1	Prodigal	002006
40	c_1	38652	42576	f	0	1	Prodigal	002006
41	c_1	42640	44185	r	0	1	Prodigal	002006
42	c_1	44186	45644	r	0	1	Prodigal	002006
43	c_1	45640	46777	r	0	1	Prodigal	002006
44	c_1	47012	48476	r	0	1	Prodigal	002006
45	c_1	48472	50017	r	0	1	Prodigal	002006
46	c_1	50115	51963	r	0	1	Prodigal	002006
47	c_1	51959	52268	r	0	1	Prodigal	002006
48	c_1	52264	52816	r	0	1	Prodigal	002006
49	c_1	52826	53369	r	0	1	Prodigal	002006
50	c_1	53379	54348	r	0	1	Prodigal	002006
51	c_1	54344	57101	r	0	1	Prodigal	002006
52	c_1	57142	58528	r	0	1	Prodigal	002006
53	c_1	58524	59067	r	0	1	Prodigal	002006
54	c_1	59147	60953	r	0	1	Prodigal	002006
55	c_1	60955	61630	r	0	1	Prodigal	002006
56	c_1	61659	62064	r	0	1	Prodigal	002006
57	c_1	62441	63317	r	0	1	Prodigal	002006
58	c_1	63294	64053	r	0	1	Prodigal	002006
59	c_1	64673	65291	r	0	1	Prodigal	002006
60	c_1	65311	66037	r	0	1	Prodigal	002006
61	c_1	66033	66624	r	0	1	Prodigal	002006
62	c_1	66709	67447	r	0	1	Prodigal	002006
63	c_1	67440	68346	r	0	1	Prodigal	002006
