layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters	Host
ANYA_13997	4593380	0.58660441766194	100	-1.0	4322	922.627718648774	0.940919323025746	155	3990	Human
ANYA_14430	4578595	0.588036286240648	100	-1.0	4322	920.106663581675	0.943957698813719	143	4047	Human
ANYA_18196	4480764	0.589060258473778	100	1.40845070422535	4057	962.511215183633	0.905425949681795	63	3811	Human
AV0110	4666516	0.586127209249899	100	-1.0	4174	973.29300431241	0.894457449626231	120	3990	Other fish
AV040	4501581	0.587720403120592	100	-1.0	4011	975.935676888556	0.89102028820541	81	3846	Other fish
AV1708_29120	4500467	0.588804450738112	100	-1.0	4027	975.064067544077	0.894796028945441	123	3884	Human
AV183026	4565950	0.588288089006669	100	-1.0	4137	966.142131979695	0.906054599809459	105	3956	Human
C4	4926096	0.585000170520428	100	1.40845070422535	4619	929.893483437974	0.937659355400301	194	4301	Other fish
D3	4585250	0.58508303800229	100	-1.0	4141	963.216614344361	0.903113243552696	134	3966	Other fish
FC951	4863185	0.587140731845488	100	1.40845070422535	4676	899.466852010265	0.961509792450832	401	4151	Human
FDAARGOS_632	4561870	0.588606426750434	100	-1.0	4101	976.003657644477	0.898973447292448	107	3974	Human
Hm21	4766880	0.586784437619575	100	-1.0	4318	966.498842056508	0.905833585070319	106	4137	Leech
Hm22	4926283	0.583079507335664	100	-1.0	4545	952.60396039604	0.922602294671256	3	4300	Leech
Ho04_635	4695816	0.586572402774647	100	-1.0	4285	963.808634772462	0.912514459680703	76	4104	Leech
Hv98_225	4861096	0.579342348958309	100	-1.0	4476	952.87399463807	0.920780005167559	222	4245	Leech
Hv98_231	4595446	0.588502619575514	100	-1.0	4217	961.212947593076	0.917647601560327	4	4068	Leech
Hv98_232	4588085	0.588416971249382	100	-1.0	4242	955.76874115983	0.924568747091651	8	4074	Leech
Hv98_241	4882552	0.58382861851365	100	-1.0	4499	954.008001778173	0.921444359425153	109	4266	Leech
Hv98_571	4929412	0.583167068528345	100	-1.0	4554	946.698945981555	0.923842438002748	16	4311	Leech
KMM289	4743401	0.585876462900775	100	-1.0	4317	960.364836692147	0.910106482669292	148	4104	Threespine stickleback
KMM358	4848679	0.583176572423128	100	-1.0	4412	959.547824116047	0.909938562647682	3	4226	Threespine stickleback
KMM366	4913612	0.582007899687643	100	-1.0	4476	958.002680965147	0.910938836847517	66	4289	Threespine stickleback
ZfB1	4711383	0.584907871000935	100	-1.0	4317	956.727588603197	0.916291458367957	113	4066	Other fish
b1_3	4727191	0.584280178228466	100	-1.0	4206	978.472182596291	0.88974615157289	160	4045	Other fish
