gene_callers_id	source	accession	function	e_value
1	KOfam	K02313	chromosomal replication initiator protein	1.7e-193
1	KEGG_BRITE	ko00001!!!ko00001!!!ko03032!!!ko03036	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112]!!!DNA replication proteins>>>Prokaryotic type>>>DNA Replication Initiation Factors>>>Initiation factors (bacterial)!!!Chromosome and associated proteins>>>Prokaryotic type>>>Nucleoid associated proteins>>>Other nucleoid associated proteins	0.0
2	KOfam	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	1.5e-115
2	KEGG_BRITE	ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko03032!!!ko03400	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03030 DNA replication [PATH:ko03030]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03430 Mismatch repair [PATH:ko03430]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03440 Homologous recombination [PATH:ko03440]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.7  Nucleotidyltransferases>>>2.7.7.7  DNA-directed DNA polymerase!!!DNA replication proteins>>>Prokaryotic type>>>DNA Replication Elongation Factors>>>Elongation factors (bacterial)>>>DNA polymerase III holoenzyme!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>MMR (mismatch excision repair)>>>DNA polymerase III holoenzyme	0.0
3	KOfam	K03629	DNA replication and repair protein RecF	2.9e-108
3	KEGG_BRITE	ko00001!!!ko03400	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03440 Homologous recombination [PATH:ko03440]!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>HR (homologous recombination)>>>RecFOR pathway proteins	0.0
4	KOfam	K02470	DNA gyrase subunit B [EC:5.6.2.2]	0
4	KEGG_BRITE	ko01000!!!ko03032!!!ko03400	Enzymes>>>5. Isomerases>>>5.6  Isomerases altering macromolecular conformation>>>5.6.2  Enzymes altering nucleic acid conformation>>>5.6.2.2  DNA topoisomerase (ATP-hydrolysing)!!!DNA replication proteins>>>Prokaryotic type>>>DNA Topoisomerases!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>NHEJ (non-homologous end-joining)>>>SHIIR (short-homology-independent illegitimate recombination)>>>Facilitator	0.0
7	KOfam	K13633	AraC family transcriptional regulator, transcriptional activator FtrA	1.2e-119
7	KEGG_BRITE	ko03000	Transcription factors>>>Prokaryotic type>>>Helix-turn-helix>>>AraC family	0.0
9	KOfam	K04080	molecular chaperone IbpA	1.4e-73
9	KEGG_BRITE	ko03110	Chaperones and folding catalysts>>>Heat shock proteins>>>HSP20	0.0
10	KOfam	K04080	molecular chaperone IbpA	8.5e-60
10	KEGG_BRITE	ko03110	Chaperones and folding catalysts>>>Heat shock proteins>>>HSP20	0.0
11	KOfam	K00835	valine--pyruvate aminotransferase [EC:2.6.1.66]	2.3e-193
11	KEGG_BRITE	ko00001!!!ko01000!!!ko01007	KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]!!!Enzymes>>>2. Transferases>>>2.6  Transferring nitrogenous groups>>>2.6.1  Transaminases>>>2.6.1.66  valine---pyruvate transaminase!!!Amino acid related enzymes>>>Aminotransferase (transaminase)>>>Class I	0.0
15	KOfam	K07667	two-component system, OmpR family, KDP operon response regulator KdpE	4e-90
15	KEGG_BRITE	ko00001!!!ko00001!!!ko02022	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09145 Cellular community - prokaryotes>>>02024 Quorum sensing [PATH:ko02024]!!!Two-component system>>>OmpR family>>>KdpD-KdpE (potassium transport)	0.0
16	KOfam	K07646	two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	1e-263
16	KEGG_BRITE	ko00001!!!ko01000!!!ko01001!!!ko02022	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.13  Protein-histidine kinases>>>2.7.13.3  histidine kinase!!!Protein kinases>>>Histidine kinases>>>OmpR family!!!Two-component system>>>OmpR family>>>KdpD-KdpE (potassium transport)	0.0
17	KOfam	K01548	potassium-transporting ATPase KdpC subunit	1.6e-58
17	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]	0.0
18	KOfam	K01547	potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	0
18	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!Enzymes>>>7. Translocases>>>7.2  Catalysing the translocation of inorganic cations>>>7.2.2  Linked to the hydrolysis of a nucleoside triphosphate>>>7.2.2.6  P-type K+ transporter	0.0
19	KOfam	K01546	potassium-transporting ATPase potassium-binding subunit	1.2e-237
19	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]	0.0
20	KOfam	K00383	glutathione reductase (NADPH) [EC:1.8.1.7]	5.9e-212
20	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00480 Glutathione metabolism [PATH:ko00480]!!!Enzymes>>>1. Oxidoreductases>>>1.8  Acting on a sulfur group of donors>>>1.8.1  With NAD+ or NADP+ as acceptor>>>1.8.1.7  glutathione-disulfide reductase	0.0
21	KOfam	K02482	two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	1.9e-68
21	KEGG_BRITE	ko01000!!!ko01001!!!ko02022	Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.13  Protein-histidine kinases>>>2.7.13.3  histidine kinase!!!Protein kinases>>>Histidine kinases>>>NtrC family!!!Two-component system>>>NtrC family>>>Unclassified	0.0
22	KOfam	K18138	multidrug efflux pump	0
22	KEGG_Module	M00718	Multidrug resistance, efflux pump MexAB-OprM	0.0
22	KEGG_Class	M00718	Signature modules; Gene set; Drug resistance	0.0
22	KEGG_BRITE	ko02000!!!ko01504	Transporters>>>Other transporters>>>Electrochemical potential-driven transporters [TC:2]!!!Antimicrobial resistance genes>>>Gene sets>>>Multipdrug resistance modules>>>Multidrug resistance, efflux pump MexAB-OprM [MD:M00718]	0.0
23	KOfam	K02005	HlyD family secretion protein	1.5e-66
23	KOfam	K03585	membrane fusion protein, multidrug efflux system	7.4e-100
23	KEGG_Module	M00718	Multidrug resistance, efflux pump MexAB-OprM	0.0
23	KEGG_Class	M00718	Signature modules; Gene set; Drug resistance	0.0
23	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09193 Unclassified: signaling and cellular processes>>>99992 Structural proteins	0.0
23	KEGG_BRITE	ko03036!!!ko02000!!!ko01504	Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Divisome proteins!!!Transporters>>>Other transporters>>>Accessory factors involved in transport [TC:8]!!!Antimicrobial resistance genes>>>Gene sets>>>Multipdrug resistance modules>>>Multidrug resistance, efflux pump MexAB-OprM [MD:M00718]	0.0
24	KOfam	K18136	TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor	2.6e-71
24	KEGG_BRITE	ko03000	Transcription factors>>>Prokaryotic type>>>Helix-turn-helix>>>TetR/AcrR family	0.0
26	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	1.9e-63
26	KEGG_Module	M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	0.0
26	KEGG_Class	M00125	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
26	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00740 Riboflavin metabolism [PATH:ko00740]!!!Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.3  Phosphoric-monoester hydrolases>>>3.1.3.104  5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	0.0
27	KOfam	K01048	lysophospholipase [EC:3.1.1.5]	6.8e-104
27	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09103 Lipid metabolism>>>00564 Glycerophospholipid metabolism [PATH:ko00564]!!!Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.1  Carboxylic-ester hydrolases>>>3.1.1.5  lysophospholipase	0.0
28	KOfam	K00638	chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]	1.2e-90
28	KEGG_BRITE	ko01000!!!ko01504	Enzymes>>>2. Transferases>>>2.3  Acyltransferases>>>2.3.1  Transferring groups other than aminoacyl groups>>>2.3.1.28  chloramphenicol O-acetyltransferase!!!Antimicrobial resistance genes>>>Gene variants>>>Phenicol resistance genes>>>Acetyltransferases	0.0
29	KOfam	K00556	tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]	5.6e-97
29	KEGG_BRITE	ko01000!!!ko03016	Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.1  Methyltransferases>>>2.1.1.34  tRNA (guanosine18-2'-O)-methyltransferase!!!Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Methyltransferases	0.0
30	KOfam	K01139	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	8.8e-276
30	KEGG_BRITE	ko00001!!!ko01000!!!ko01000!!!ko03009	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.6  Diphosphotransferases>>>2.7.6.5  GTP diphosphokinase!!!Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.7  Diphosphoric-monoester hydrolases>>>3.1.7.2  guanosine-3',5'-bis(diphosphate) 3'-diphosphatase!!!Ribosome biogenesis>>>Prokaryotic type>>>Other maturation factors	0.0
31	KOfam	K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	7.8e-27
