items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs
GC_00000001	21	267	45
GC_00000002	22	191	23
GC_00000003	24	173	10
GC_00000004	23	144	17
GC_00000005	18	122	24
GC_00000006	24	99	8
GC_00000007	22	99	14
GC_00000008	24	96	4
GC_00000009	18	89	23
GC_00000010	24	77	4
GC_00000011	24	73	4
GC_00000012	24	73	4
GC_00000013	24	72	3
GC_00000014	24	70	4
GC_00000015	24	69	3
GC_00000016	17	68	6
GC_00000017	19	62	18
GC_00000018	24	62	5
GC_00000019	24	59	6
GC_00000020	12	59	7
GC_00000021	24	56	3
GC_00000022	24	54	5
GC_00000023	24	54	4
GC_00000024	24	53	3
GC_00000025	24	52	3
GC_00000026	24	51	3
GC_00000027	24	50	3
GC_00000028	24	50	4
GC_00000029	24	50	3
GC_00000030	24	49	3
GC_00000031	24	49	3
GC_00000032	24	49	3
GC_00000033	24	49	3
GC_00000034	24	49	3
GC_00000035	24	48	2
GC_00000036	24	48	2
GC_00000037	24	48	2
GC_00000038	24	48	2
GC_00000039	24	48	2
GC_00000040	24	48	2
GC_00000041	24	48	2
GC_00000042	24	48	2
GC_00000043	24	48	2
GC_00000044	24	48	2
GC_00000045	24	48	2
GC_00000046	24	48	2
GC_00000047	24	48	2
GC_00000048	24	48	2
GC_00000049	24	48	2
GC_00000050	24	48	2
GC_00000051	24	48	2
GC_00000052	24	48	2
GC_00000053	24	48	3
GC_00000054	24	48	2
GC_00000055	24	48	2
GC_00000056	24	48	2
GC_00000057	24	48	2
GC_00000058	24	48	2
GC_00000059	24	48	2
GC_00000060	24	48	2
GC_00000061	24	48	2
GC_00000062	24	48	2
GC_00000063	24	48	2
GC_00000064	24	47	2
GC_00000065	24	47	2
GC_00000066	24	47	2
GC_00000067	24	47	2
GC_00000068	24	47	2
GC_00000069	24	47	2
GC_00000070	24	47	2
GC_00000071	24	47	2
GC_00000072	24	46	3
GC_00000073	23	46	4
GC_00000074	24	46	2
GC_00000075	24	45	3
GC_00000076	24	45	3
GC_00000077	23	45	2
GC_00000078	24	44	4
GC_00000079	24	44	2
GC_00000080	24	43	3
GC_00000081	24	43	3
GC_00000082	10	42	20
