key	ANYA_13997	ANYA_14430	ANYA_18196	AV0110	AV040	AV1708_29120	AV183026	C4	D3	FC951	FDAARGOS_632	Hm21	Hm22	Ho04_635	Hv98_225	Hv98_231	Hv98_232	Hv98_241	Hv98_571	KMM289	KMM358	KMM366	ZfB1	b1_3
ANYA_13997	0.0	111266.0	142680.0	142292.0	146482.0	156119.0	155028.0	154019.0	145540.0	148706.0	140961.0	150583.0	153309.0	150895.0	143043.0	151166.0	150974.0	148063.0	152326.0	151407.0	157410.0	157543.0	152703.0	164362.0
ANYA_14430	110872.0	0.0	139622.0	141743.0	144937.0	159662.0	153825.0	157005.0	146164.0	146347.0	143454.0	150721.0	149352.0	149273.0	142340.0	147641.0	147147.0	149107.0	148320.0	146457.0	156172.0	156205.0	149859.0	160707.0
ANYA_18196	143688.0	140093.0	0.0	139802.0	146116.0	153793.0	145903.0	145905.0	141827.0	142606.0	138713.0	139116.0	145740.0	138890.0	142194.0	138201.0	137809.0	137360.0	145115.0	142628.0	151092.0	151201.0	146867.0	161782.0
AV0110	143609.0	144486.0	141177.0	0.0	153846.0	160945.0	147687.0	152378.0	146286.0	143701.0	141537.0	138701.0	143590.0	137479.0	142453.0	137251.0	136843.0	138341.0	142981.0	148152.0	152304.0	152439.0	149717.0	167195.0
AV040	148755.0	147472.0	145233.0	152853.0	0.0	162572.0	150890.0	153694.0	154400.0	151137.0	148378.0	147103.0	150599.0	147489.0	148913.0	146401.0	145802.0	147480.0	149655.0	153595.0	157107.0	157137.0	150117.0	174783.0
AV1708_29120	155704.0	160509.0	150171.0	158666.0	163141.0	0.0	161897.0	166967.0	162911.0	159651.0	155940.0	158873.0	159514.0	156338.0	158011.0	156250.0	155707.0	158756.0	158626.0	159018.0	165167.0	165363.0	163739.0	163656.0
AV183026	155350.0	155425.0	144967.0	147009.0	152186.0	164241.0	0.0	162588.0	151218.0	151040.0	146144.0	152137.0	155709.0	151354.0	151771.0	151847.0	151115.0	152240.0	154858.0	155307.0	164103.0	164184.0	151884.0	169381.0
C4	155262.0	157970.0	147857.0	150616.0	153869.0	166167.0	161786.0	0.0	154354.0	157228.0	153938.0	156215.0	162643.0	154458.0	155348.0	155743.0	155365.0	160966.0	161572.0	162678.0	165945.0	165930.0	160177.0	175956.0
D3	147288.0	147914.0	140592.0	145206.0	152225.0	162137.0	151175.0	154468.0	0.0	148493.0	143569.0	146851.0	146939.0	145374.0	145824.0	144752.0	143935.0	143812.0	146286.0	151726.0	157467.0	157606.0	149629.0	170236.0
FC951	150887.0	148225.0	140372.0	143106.0	151720.0	161535.0	151776.0	157757.0	149330.0	0.0	141411.0	146059.0	150428.0	144865.0	145193.0	144831.0	144352.0	145980.0	149653.0	153299.0	159830.0	159676.0	151576.0	166723.0
FDAARGOS_632	141722.0	145870.0	141105.0	140112.0	149767.0	158310.0	146470.0	152953.0	143462.0	142727.0	0.0	137425.0	141682.0	137166.0	140305.0	137745.0	137272.0	136821.0	140859.0	145841.0	152306.0	152350.0	149892.0	164677.0
Hm21	149779.0	152337.0	136966.0	137535.0	147993.0	158463.0	151507.0	156763.0	146562.0	143651.0	137405.0	0.0	149146.0	117448.0	138647.0	103487.0	103238.0	131733.0	148091.0	147544.0	155856.0	155969.0	149439.0	164903.0
Hm22	157674.0	152373.0	145982.0	144158.0	151926.0	160768.0	155477.0	163962.0	147475.0	150134.0	143263.0	152196.0	0.0	151010.0	149584.0	150215.0	149912.0	154495.0	431.0	159484.0	169858.0	170157.0	157139.0	173561.0
Ho04_635	150883.0	150716.0	137602.0	137970.0	147129.0	156002.0	151486.0	154448.0	146459.0	144336.0	137061.0	119446.0	149223.0	0.0	140788.0	109422.0	109103.0	133040.0	148536.0	150694.0	156500.0	156602.0	149079.0	164582.0
Hv98_225	145404.0	146881.0	142103.0	142108.0	151919.0	159015.0	151875.0	158630.0	147687.0	146389.0	140733.0	141709.0	148618.0	141489.0	0.0	140933.0	140456.0	146731.0	147745.0	150677.0	160060.0	160214.0	153116.0	169960.0
Hv98_231	148151.0	148410.0	135978.0	136977.0	146538.0	154648.0	150878.0	153909.0	143348.0	142587.0	137216.0	103533.0	147209.0	107827.0	139084.0	0.0	298.0	130229.0	146329.0	147862.0	153254.0	153399.0	147473.0	162444.0
