enzyme	genome_name	db_name	gene_caller_id	contig	modules_with_enzyme	enzyme_definition	warnings
K00845	KMM289	KMM289	3738	c_1	M00001,M00549	glucokinase [EC:2.7.1.2]	None
K25026	KMM289	KMM289	1785	c_1	M00001,M00549	glucokinase [EC:2.7.1.2]	None
K00886	KMM289	KMM289	3341	c_1	M00001,M00549	polyphosphate glucokinase [EC:2.7.1.63]	None
K01810	KMM289	KMM289	2647	c_1	M00001,M00004	glucose-6-phosphate isomerase [EC:5.3.1.9]	None
K06859	KMM289	KMM289	541	c_1	M00001,M00004	glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]	None
K00850	KMM289	KMM289	615	c_1	M00001,M00345	6-phosphofructokinase 1 [EC:2.7.1.11]	None
K01624	KMM289	KMM289	1782	c_1	M00001,M00003,M00165,M00345,M00344,M00611,M00612	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	None
K01803	KMM289	KMM289	1699	c_1	M00001,M00002,M00003,M00165	triosephosphate isomerase (TIM) [EC:5.3.1.1]	None
K01803	KMM289	KMM289	614	c_1	M00001,M00002,M00003,M00165	triosephosphate isomerase (TIM) [EC:5.3.1.1]	None
K00134	KMM289	KMM289	1923	c_1	M00001,M00002,M00003,M00308,M00552,M00165,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	None
K00134	KMM289	KMM289	3531	c_1	M00001,M00002,M00003,M00308,M00552,M00165,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	None
K00927	KMM289	KMM289	1783	c_1	M00001,M00002,M00003,M00308,M00552,M00165,M00611,M00612	phosphoglycerate kinase [EC:2.7.2.3]	None
K15633	KMM289	KMM289	2359	c_1	M00001,M00002,M00003	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	None
K01689	KMM289	KMM289	1860	c_1	M00001,M00002,M00003,M00346	enolase 1/2/3 [EC:4.2.1.11]	None
K00873	KMM289	KMM289	2504	c_1	M00001,M00002	pyruvate kinase [EC:2.7.1.40]	None
K00873	KMM289	KMM289	1315	c_1	M00001,M00002	pyruvate kinase [EC:2.7.1.40]	None
K00873	KMM289	KMM289	3740	c_1	M00001,M00002	pyruvate kinase [EC:2.7.1.40]	None
K01610	KMM289	KMM289	2956	c_1	M00003,M00170	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	None
K03841	KMM289	KMM289	171	c_1	M00003,M00165,M00344,M00611,M00612	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	None
K02446	KMM289	KMM289	2256	c_1	M00003,M00165,M00611,M00612	fructose-1,6-bisphosphatase II [EC:3.1.3.11]	None
K00163	KMM289	KMM289	2124	c_1	M00307	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	None
K00627	KMM289	KMM289	2123	c_1	M00307	pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	None
K00382	KMM289	KMM289	2122	c_1	M00307,M00009,M00011,M00532,M00621,M00036,M00032	dihydrolipoyl dehydrogenase [EC:1.8.1.4]	None
K03737	KMM289	KMM289	3634	c_1	M00307,M00173,M00614	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	None
K03737	KMM289	KMM289	1141	c_1	M00307,M00173,M00614	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	None
K01647	KMM289	KMM289	729	c_1	M00009,M00010,M00012,M00740	citrate synthase [EC:2.3.3.1]	None
K01659	KMM289	KMM289	440	c_1	M00009,M00010,M00012,M00740,M00982	2-methylcitrate synthase [EC:2.3.3.5]	None
K01682	KMM289	KMM289	2118	c_1	M00009,M00010,M00012,M00982,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	None
K00031	KMM289	KMM289	4043	c_1	M00009,M00010,M00740,M00173,M00614	isocitrate dehydrogenase [EC:1.1.1.42]	None
K00030	KMM289	KMM289	1554	c_1	M00009,M00010	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	None
K00164	KMM289	KMM289	723	c_1	M00009,M00011	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	None
K00658	KMM289	KMM289	722	c_1	M00009,M00011,M00032	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	None
K01902	KMM289	KMM289	720	c_1	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	None
K01903	KMM289	KMM289	721	c_1	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	None
K00239	KMM289	KMM289	3601	c_1	M00009,M00011,M00982,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	None
K00239	KMM289	KMM289	725	c_1	M00009,M00011,M00982,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	None
K00240	KMM289	KMM289	3600	c_1	M00009,M00011,M00982,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	None
K00240	KMM289	KMM289	724	c_1	M00009,M00011,M00982,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	None
K00241	KMM289	KMM289	727	c_1	M00009,M00011,M00982,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase cytochrome b subunit	None
K00242	KMM289	KMM289	726	c_1	M00009,M00011,M00982,M00173,M00149,M00613,M00614	succinate dehydrogenase membrane anchor subunit	None
K00244	KMM289	KMM289	3601	c_1	M00009,M00011,M00982,M00150,M00613,M00614	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	None
