layers	Hv98_231	b1_3	AV040	ZfB1	Hm21	C4	Hv98_241	ANYA_18196	KMM366	ANYA_14430	AV183026	FDAARGOS_632	Hm22	KMM358	ANYA_13997	Ho04_635	FC951	AV0110	Hv98_232	Hv98_225	AV1708_29120	D3	KMM289	Hv98_571
ANYA_13997	4061021.0	3890825.0	3890663.0	3993444.0	4065847.0	4030898.0	4043237.0	3929710.0	3997258.0	4232419.0	4045762.0	3891678.0	4099072.0	3997468.0	4593380.0	4059846.0	3860991.0	3931666.0	4050897.0	3877552.0	3872862.0	3909923.0	3971827.0	4077489.0
ANYA_14430	4040578.0	3868491.0	3875638.0	3959189.0	4072044.0	4057672.0	4041978.0	3870630.0	3966074.0	4578595.0	4026728.0	3904176.0	4059582.0	3965762.0	4207091.0	4042039.0	3824146.0	3892945.0	4031857.0	3876792.0	3866345.0	3891426.0	3913243.0	4037217.0
ANYA_18196	3938575.0	3912125.0	4022328.0	3887674.0	3967001.0	3954924.0	3937352.0	4480764.0	3936156.0	3877873.0	3936859.0	4038847.0	3949270.0	3936119.0	3933741.0	3952277.0	3856532.0	4023345.0	3927993.0	3957586.0	3971374.0	3925312.0	3912746.0	3933778.0
AV0110	3951064.0	4001713.0	4061569.0	3866357.0	3970192.0	3997588.0	3970304.0	4006509.0	3940764.0	3903623.0	3949534.0	4118343.0	3962105.0	3940007.0	3908024.0	3983656.0	3876713.0	4666516.0	3940132.0	4021519.0	3967762.0	4006996.0	4018078.0	3945158.0
AV040	3917973.0	4044679.0	4501581.0	3874511.0	3935141.0	3963600.0	3954355.0	4016405.0	3940763.0	3898093.0	3925324.0	4039946.0	3973230.0	3940768.0	3903855.0	3942848.0	3846728.0	4058671.0	3910984.0	3990140.0	3940458.0	4003421.0	3975696.0	3954177.0
AV1708_29120	3866721.0	3981511.0	3948568.0	3831355.0	3898438.0	3911456.0	3892556.0	3936848.0	3879939.0	3865116.0	3881313.0	3948195.0	3902990.0	3879783.0	3856934.0	3881547.0	3790910.0	3958185.0	3856901.0	3896028.0	4500467.0	3905897.0	3880269.0	3887180.0
AV183026	4030642.0	3921910.0	3937905.0	3964615.0	4052273.0	4095134.0	4021297.0	3937958.0	4037744.0	4040797.0	4565950.0	3942141.0	4064495.0	4036750.0	4039693.0	4018751.0	3856372.0	3962757.0	4014976.0	3952894.0	3908695.0	3957937.0	3965915.0	4048252.0
C4	4116777.0	3984750.0	3954786.0	4027195.0	4147844.0	4926096.0	4155186.0	3960870.0	4133994.0	4077456.0	4098704.0	3999558.0	4173490.0	4133970.0	4024208.0	4114805.0	3882419.0	3986605.0	4106273.0	3987477.0	3913138.0	3959999.0	4105620.0	4152473.0
D3	3926229.0	3929171.0	3982274.0	3888796.0	3947874.0	3959683.0	3913007.0	3901716.0	3928006.0	3904722.0	3944926.0	3951063.0	3946331.0	3928074.0	3891604.0	3936492.0	3903126.0	4002719.0	3911627.0	3905707.0	3895497.0	4585250.0	3947596.0	3930495.0
FC951	3848280.0	3814908.0	3862156.0	3980785.0	3887526.0	3893503.0	3873293.0	3853865.0	3868752.0	3838299.0	3860840.0	3873087.0	3878435.0	3870520.0	3857935.0	3880299.0	4863185.0	3892045.0	3838560.0	3825879.0	3806663.0	3932082.0	3906487.0	3862434.0
FDAARGOS_632	3959784.0	3952475.0	4040010.0	3902914.0	3972572.0	3993821.0	3976454.0	4049309.0	3934589.0	3916702.0	3944083.0	4561870.0	3963809.0	3934333.0	3891628.0	3983620.0	3878259.0	4117215.0	3949773.0	4028365.0	3955430.0	3940911.0	3994158.0	3948632.0
Hm21	4440365.0	3946131.0	3936613.0	3932500.0	4766880.0	4139862.0	4364281.0	3950361.0	4085401.0	4074948.0	4045908.0	3975807.0	4322318.0	4085382.0	4039245.0	4388880.0	3870256.0	3959959.0	4430986.0	3986518.0	3904950.0	3946722.0	4047862.0	4296391.0
