enzyme	KMM289	KMM358	KMM366
K00005	2	2	2
K00009	1	1	1
K00012	1	1	1
K00013	1	1	1
K00014	1	1	1
K00018	1	1	1
K00020	1	1	1
K00027	3	3	3
K00029	3	3	3
K00030	1	1	1
K00031	1	1	1
K00052	1	1	1
K00053	1	1	1
K00057	1	1	1
K00058	1	1	1
K00059	3	4	4
K00060	1	1	1
K00065	1	0	0
K00067	1	1	1
K00075	1	1	1
K00077	1	1	1
K00087	1	1	1
K00088	1	1	1
K00097	1	1	1
K00099	1	1	1
K00111	2	2	2
K00112	1	1	1
K00113	1	1	1
K00121	1	1	1
K00123	2	1	1
K00124	2	2	2
K00127	1	1	1
K00133	2	2	2
K00134	2	2	2
K00135	1	1	1
K00137	1	0	0
K00138	1	1	1
K00140	1	1	1
K00145	1	1	1
K00147	1	1	1
K00154	1	1	1
K00163	1	1	1
K00164	1	1	1
K00166	1	1	1
K00209	2	2	2
K00215	1	1	1
K00216	1	1	1
K00217	1	1	1
K00219	1	1	1
K00228	1	1	1
K00230	1	1	1
K00239	2	2	2
K00240	2	2	2
K00241	1	1	1
K00242	1	1	1
K00243	1	1	1
K00244	1	1	1
K00245	1	1	1
K00246	1	1	1
K00247	1	1	1
K00249	2	2	2
K00253	1	1	1
K00254	1	1	1
K00259	1	1	1
K00265	1	1	1
K00266	2	2	2
K00275	1	1	1
K00278	1	1	1
K00281	1	1	1
K00285	1	1	1
K00286	1	1	1
K00287	1	1	1
K00297	1	1	1
K00311	1	1	1
K00316	1	1	1
K00324	1	1	1
K00325	1	1	1
K00330	1	1	1
K00331	1	1	1
K00334	1	1	1
K00335	1	1	1
K00336	1	1	1
K00337	1	1	1
K00338	1	1	1
K00339	1	1	1
K00340	1	1	1
K00341	1	1	1
K00342	1	1	1
K00343	1	1	1
K00344	3	3	3
K00346	1	1	1
K00347	1	1	1
K00348	1	1	1
K00349	1	1	1
K00350	1	2	2
K00351	1	1	1
K00355	1	1	1
K00362	1	0	0
K00363	1	0	0
K00364	1	1	1
K00380	1	1	1
K00381	1	1	1
K00382	1	1	1
K00383	1	1	1
K00384	1	1	1
K00385	1	1	1
K00390	1	1	1
K00404	1	1	1
K00405	1	1	1
K00406	1	1	1
K00407	1	1	1
K00411	1	1	1
K00412	1	1	1
K00413	1	1	1
K00424	2	2	2
K00425	2	2	2
K00426	2	2	2
K00428	0	1	1
K00432	2	2	2
K00451	1	1	1
K00457	1	1	1
K00459	1	1	1
K00500	1	1	1
K00507	1	1	1
