items	SCG
GC_00000001	0
GC_00000002	0
GC_00000003	0
GC_00000004	0
GC_00000005	0
GC_00000006	0
GC_00000007	0
GC_00000008	0
GC_00000009	0
GC_00000010	0
GC_00000011	0
GC_00000012	0
GC_00000013	0
GC_00000014	0
GC_00000015	0
GC_00000016	0
GC_00000017	0
GC_00000018	0
GC_00000019	0
GC_00000020	0
GC_00000021	0
GC_00000022	0
GC_00000023	0
GC_00000024	0
GC_00000025	0
GC_00000026	0
GC_00000027	0
GC_00000028	0
GC_00000029	0
GC_00000030	0
GC_00000031	0
GC_00000032	0
GC_00000033	0
GC_00000034	0
GC_00000035	0
GC_00000036	0
GC_00000037	0
GC_00000038	0
GC_00000039	0
GC_00000040	0
GC_00000041	0
GC_00000042	0
GC_00000043	0
GC_00000044	0
GC_00000045	0
GC_00000046	0
GC_00000047	0
GC_00000048	0
GC_00000049	0
GC_00000050	0
GC_00000051	0
GC_00000052	0
GC_00000053	0
GC_00000054	0
GC_00000055	0
GC_00000056	0
GC_00000057	0
GC_00000058	0
GC_00000059	0
GC_00000060	0
GC_00000061	0
GC_00000062	0
GC_00000063	0
GC_00000064	0
GC_00000065	0
GC_00000066	0
GC_00000067	0
GC_00000068	0
GC_00000069	0
GC_00000070	0
GC_00000071	0
GC_00000072	0
GC_00000073	0
GC_00000074	0
GC_00000075	0
GC_00000076	0
GC_00000077	0
GC_00000078	0
GC_00000079	0
GC_00000080	0
GC_00000081	0
GC_00000082	0
GC_00000083	0
GC_00000084	0
GC_00000085	0
GC_00000086	0
GC_00000087	0
GC_00000088	0
GC_00000089	0
GC_00000090	0
GC_00000091	0
GC_00000092	0
GC_00000093	0
GC_00000094	0
GC_00000095	0
GC_00000096	0
GC_00000097	0
GC_00000098	0
GC_00000099	0
GC_00000100	0
GC_00000101	0
GC_00000102	0
GC_00000103	0
GC_00000104	0
GC_00000105	0
GC_00000106	0
GC_00000107	0
GC_00000108	0
GC_00000109	0
GC_00000110	0
GC_00000111	0
GC_00000112	0
GC_00000113	0
GC_00000114	0
GC_00000115	0
GC_00000116	0
GC_00000117	0
GC_00000118	0
GC_00000119	0
GC_00000120	0
GC_00000121	0
GC_00000122	0
GC_00000123	0
GC_00000124	0
GC_00000125	0
GC_00000126	0
GC_00000127	0
GC_00000128	0
GC_00000129	0
GC_00000130	0
GC_00000131	0
GC_00000132	0
GC_00000133	0
GC_00000134	0
GC_00000135	0
GC_00000136	0
GC_00000137	0
GC_00000138	0
GC_00000139	0
GC_00000140	0
GC_00000141	0
GC_00000142	0
GC_00000143	0
GC_00000144	0
GC_00000145	0
GC_00000146	0
GC_00000147	0
GC_00000148	0
GC_00000149	0
GC_00000150	0
GC_00000151	0
GC_00000152	0
GC_00000153	0
GC_00000154	0
GC_00000155	0
GC_00000156	0
GC_00000157	0
GC_00000158	0
GC_00000159	0
GC_00000160	0
GC_00000161	0
GC_00000162	0
GC_00000163	0
GC_00000164	0
GC_00000165	0
GC_00000166	0
GC_00000167	0
GC_00000168	0
GC_00000169	0
GC_00000170	0
GC_00000171	0
GC_00000172	0
GC_00000173	0
GC_00000174	0
GC_00000175	0
GC_00000176	0
GC_00000177	0
GC_00000178	0
GC_00000179	0
GC_00000180	0
GC_00000181	0
GC_00000182	0
GC_00000183	0
GC_00000184	0
GC_00000185	0
GC_00000186	0
GC_00000187	0
GC_00000188	0
GC_00000189	0
GC_00000190	0
GC_00000191	0
GC_00000192	0
GC_00000193	0
GC_00000194	0
GC_00000195	0
GC_00000196	0
GC_00000197	0
GC_00000198	0
GC_00000199	0
GC_00000200	0
GC_00000201	0
GC_00000202	0
GC_00000203	0
GC_00000204	0
GC_00000205	0
GC_00000206	0
GC_00000207	0
GC_00000208	0
GC_00000209	0
GC_00000210	0
GC_00000211	0
GC_00000212	0
GC_00000213	0
GC_00000214	0
GC_00000215	0
GC_00000216	0
GC_00000217	0
GC_00000218	0
GC_00000219	0
GC_00000220	0
GC_00000221	0
GC_00000222	0
GC_00000223	0
GC_00000224	0
GC_00000225	0
GC_00000226	0
GC_00000227	0
GC_00000228	0
GC_00000229	0
GC_00000230	0
GC_00000231	0
GC_00000232	0
GC_00000233	0
GC_00000234	0
GC_00000235	0
GC_00000236	0
GC_00000237	0
GC_00000238	0
GC_00000239	0
GC_00000240	0
GC_00000241	0
GC_00000242	0
GC_00000243	0
GC_00000244	0
GC_00000245	0
GC_00000246	0
