"module","module_name.x","KMM289_pathwise_module_completeness","KMM358_pathwise_module_completeness","KMM366_pathwise_module_completeness","KMM289_stepwise_module_completeness","KMM358_stepwise_module_completeness","KMM366_stepwise_module_completeness","has_na_pathwise","pathwise_difference","same_pathwise","module_name.y","module_class","module_category","module_subcategory"
"M00835","Pyocyanine biosynthesis, chorismate => pyocyanine",0.142857142857143,NA,NA,0.142857142857143,NA,NA,TRUE,0,FALSE,"Pyocyanine biosynthesis, chorismate => pyocyanine","Pathway modules","Biosynthesis of other secondary metabolites","Biosynthesis of other bacterial compounds"
"M01015","GDP-Man biosynthesis, Man => GDP-Man",NA,0.333333333333333,0.333333333333333,NA,0,0,TRUE,0,FALSE,"GDP-Man biosynthesis, Man => GDP-Man","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01015","GDP-Man biosynthesis, Man => GDP-Man",NA,0.333333333333333,0.333333333333333,NA,0,0,TRUE,0,FALSE,"GDP-Man biosynthesis, Man => GDP-Man","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01014","UDP-ManNAcA biosynthesis, UDP-GlcNAc => UDP-ManNAcA",NA,0.5,0.5,NA,0.5,0.5,TRUE,0,FALSE,"UDP-ManNAcA biosynthesis, UDP-GlcNAc => UDP-ManNAcA","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01014","UDP-ManNAcA biosynthesis, UDP-GlcNAc => UDP-ManNAcA",NA,0.5,0.5,NA,0.5,0.5,TRUE,0,FALSE,"UDP-ManNAcA biosynthesis, UDP-GlcNAc => UDP-ManNAcA","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01029","CDP-Tyv biosynthesis, Glc-1P => CDP-Par => CDP-Tyv",NA,0.4,0.4,NA,0.4,0.4,TRUE,0,FALSE,"CDP-Tyv biosynthesis, Glc-1P => CDP-Par => CDP-Tyv","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01029","CDP-Tyv biosynthesis, Glc-1P => CDP-Par => CDP-Tyv",NA,0.4,0.4,NA,0.4,0.4,TRUE,0,FALSE,"CDP-Tyv biosynthesis, Glc-1P => CDP-Par => CDP-Tyv","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01030","CDP-Abe biosynthesis, Glc-1P => CDP-Abe",NA,0.5,0.5,NA,0.5,0.5,TRUE,0,FALSE,"CDP-Abe biosynthesis, Glc-1P => CDP-Abe","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01030","CDP-Abe biosynthesis, Glc-1P => CDP-Abe",NA,0.5,0.5,NA,0.5,0.5,TRUE,0,FALSE,"CDP-Abe biosynthesis, Glc-1P => CDP-Abe","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01031","CDP-Asc biosynthesis, Glc-1P => CDP-Asc",NA,0.4,0.4,NA,0.4,0.4,TRUE,0,FALSE,"CDP-Asc biosynthesis, Glc-1P => CDP-Asc","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
