gene_callers_id	source	accession	function	e_value
1	Prokka:Prodigal	dnaA	Chromosomal replication initiator protein DnaA	0
2	Prokka:Prodigal	dnaN	Beta sliding clamp	0
3	Prokka:Prodigal	recF	DNA replication and repair protein RecF	0
4	Prokka:Prodigal	gyrB	DNA gyrase subunit B	0
5	Prokka:Prodigal	ehpR	Phenazine antibiotic resistance protein EhpR	0
6	Prokka:Prodigal			0
7	Prokka:Prodigal	cdhR	HTH-type transcriptional regulator CdhR	0
8	Prokka:Prodigal			0
9	Prokka:Prodigal	ibpA_1	Small heat shock protein IbpA	0
10	Prokka:Prodigal	ibpA_2	Small heat shock protein IbpA	0
11	Prokka:Prodigal	avtA	Valine--pyruvate aminotransferase	0
12	Prokka:Prodigal			0
13	Prokka:Prodigal	nimR_1	HTH-type transcriptional regulator NimR	0
14	Prokka:Prodigal	ydhC	Inner membrane transport protein YdhC	0
15	Prokka:Prodigal	kdpE	KDP operon transcriptional regulatory protein KdpE	0
16	Prokka:Prodigal	kdpD	Sensor protein KdpD	0
17	Prokka:Prodigal	kdpC	Potassium-transporting ATPase KdpC subunit	0
18	Prokka:Prodigal	kdpB	Potassium-transporting ATPase ATP-binding subunit	0
19	Prokka:Prodigal	kdpA	Potassium-transporting ATPase potassium-binding subunit	0
20	Prokka:Prodigal	gor	Glutathione reductase	0
21	Prokka:Prodigal	sasA_1	Adaptive-response sensory-kinase SasA	0
22	Prokka:Prodigal	bepE_1	Efflux pump membrane transporter BepE	0
23	Prokka:Prodigal	mdtA_1	Multidrug resistance protein MdtA	0
24	Prokka:Prodigal		putative HTH-type transcriptional regulator	0
25	Prokka:Prodigal			0
26	Prokka:Prodigal	yigL	Pyridoxal phosphate phosphatase YigL	0
27	Prokka:Prodigal	pldB	Lysophospholipase L2	0
28	Prokka:Prodigal	cat_1	Chloramphenicol acetyltransferase	0
29	Prokka:Prodigal	trmH	tRNA (guanosine(18)-2'-O)-methyltransferase	0
30	Prokka:Prodigal	spoT	Bifunctional (p)ppGpp synthase/hydrolase SpoT	0
31	Prokka:Prodigal	rpoZ	DNA-directed RNA polymerase subunit omega	0
32	Prokka:Prodigal	gmk	Guanylate kinase	0
33	Prokka:Prodigal			0
34	Prokka:Prodigal	kdkA	3-deoxy-D-manno-octulosonic acid kinase	0
35	Prokka:Prodigal			0
36	Prokka:Prodigal	bioP	Biotin transporter	0
37	Prokka:Prodigal			0
38	Prokka:Prodigal			0
39	Prokka:Prodigal	yijE_1	putative cystine transporter YijE	0
40	Prokka:Prodigal	nodD2_1	Nodulation protein D 2	0
41	Prokka:Prodigal	trpS2	Tryptophan--tRNA ligase 2	0
42	Prokka:Prodigal			0
43	Prokka:Prodigal	uspA	Universal stress protein A 	0
44	Prokka:Prodigal	fabV_1	Trans-2-enoyl-CoA reductase [NADH]	0
45	Prokka:Prodigal	ftnA	putative bacterial non-heme ferritin	0
46	Prokka:Prodigal		putative protein	0
47	Prokka:Prodigal	ypdA	Sensor histidine kinase YpdA	0
48	Prokka:Prodigal	ypdB	Transcriptional regulatory protein YpdB	0
49	Prokka:Prodigal	yhjX	putative MFS-type transporter YhjX	0
50	Prokka:Prodigal	purK	N5-carboxyaminoimidazole ribonucleotide synthase	0
51	Prokka:Prodigal	purE_1	N5-carboxyaminoimidazole ribonucleotide mutase	0
52	Prokka:Prodigal			0
53	Prokka:Prodigal			0
54	Prokka:Prodigal	nhaR_1	Transcriptional activator protein NhaR	0
55	Prokka:Prodigal	btuB_1	Vitamin B12 transporter BtuB	0
56	Prokka:Prodigal	murI	Glutamate racemase	0
57	Prokka:Prodigal			0
58	Prokka:Prodigal			0
59	Prokka:Prodigal	tcdA	tRNA threonylcarbamoyladenosine dehydratase	0
60	Prokka:Prodigal	csdE	Sulfur acceptor protein CsdE	0
61	Prokka:Prodigal	sufS	Cysteine desulfurase SufS	0
62	Prokka:Prodigal	rep_1	ATP-dependent DNA helicase Rep	0
63	Prokka:Prodigal			0
64	Prokka:Prodigal			0
65	Prokka:Prodigal	tdh_1	L-threonine 3-dehydrogenase	0
66	Prokka:Prodigal	kbl	2-amino-3-ketobutyrate coenzyme A ligase	0
67	Prokka:Prodigal			0
68	Prokka:Prodigal	hldD	ADP-L-glycero-D-manno-heptose-6-epimerase	0
69	Prokka:Prodigal			0
70	Prokka:Prodigal			0
71	Prokka:Prodigal	pglJ	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase	0
72	Prokka:Prodigal			0
73	Prokka:Prodigal			0
74	Prokka:Prodigal			0
75	Prokka:Prodigal			0
76	Prokka:Prodigal			0
77	Prokka:Prodigal			0
78	Prokka:Prodigal	pchR	Regulatory protein PchR	0
79	Prokka:Prodigal	rhtC	Threonine efflux protein	0
80	Prokka:Prodigal			0
81	Prokka:Prodigal			0
82	Prokka:Prodigal			0
83	Prokka:Prodigal			0
84	Prokka:Prodigal	ydfZ	Putative selenoprotein YdfZ	0
85	Prokka:Prodigal	rayT	REP-associated tyrosine transposase	0
86	Prokka:Prodigal			0
87	Prokka:Prodigal	uvrD	DNA helicase II	0
88	Prokka:Prodigal	tmpC	Membrane lipoprotein TmpC	0
89	Prokka:Prodigal	mglA_1	Galactose/methyl galactoside import ATP-binding protein MglA	0
90	Prokka:Prodigal			0
91	Prokka:Prodigal	rfuD	putative riboflavin import permease protein RfuD	0
92	Prokka:Prodigal	yfkN_1	Trifunctional nucleotide phosphoesterase protein YfkN	0
93	Prokka:Prodigal			0
94	Prokka:Prodigal	mgtE	Magnesium transporter MgtE	0
95	Prokka:Prodigal	ybhR	putative multidrug ABC transporter permease YbhR	0
96	Prokka:Prodigal	ybhS	putative multidrug ABC transporter permease YbhS	0
97	Prokka:Prodigal	ybhF_1	putative multidrug ABC transporter ATP-binding protein YbhF	0
98	Prokka:Prodigal	ybhF_2	putative multidrug ABC transporter ATP-binding protein YbhF	0
99	Prokka:Prodigal			0
100	Prokka:Prodigal			0
101	Prokka:Prodigal	hslU	ATP-dependent protease ATPase subunit HslU	0
102	Prokka:Prodigal	hslV	ATP-dependent protease subunit HslV	0
103	Prokka:Prodigal	ftsN	Cell division protein FtsN	0
104	Prokka:Prodigal	argS	Arginine--tRNA ligase	0
105	Prokka:Prodigal			0
106	Prokka:Prodigal	rpoE_1	ECF RNA polymerase sigma factor RpoE	0
107	Prokka:Prodigal	chrR	Anti-sigma-E factor ChrR	0
108	Prokka:Prodigal	uppP	Undecaprenyl-diphosphatase	0
109	Prokka:Prodigal	galM	Aldose 1-epimerase	0
110	Prokka:Prodigal	galK	Galactokinase	0
111	Prokka:Prodigal	galT	Galactose-1-phosphate uridylyltransferase	0
112	Prokka:Prodigal	galE	UDP-glucose 4-epimerase	0
113	Prokka:Prodigal	galR_1	HTH-type transcriptional regulator GalR	0
114	Prokka:Prodigal	lacZ	Beta-galactosidase	0
115	Prokka:Prodigal	mglB	D-galactose-binding periplasmic protein	0
116	Prokka:Prodigal	mglA_2	Galactose/methyl galactoside import ATP-binding protein MglA	0
117	Prokka:Prodigal	mglC	Galactoside transport system permease protein MglC	0
118	Prokka:Prodigal			0
119	Prokka:Prodigal	trmA	tRNA/tmRNA (uracil-C(5))-methyltransferase	0
120	Prokka:Prodigal			0
121	Prokka:Prodigal	yvqK_1	Corrinoid adenosyltransferase	0
122	Prokka:Prodigal	malZ	Maltodextrin glucosidase	0
123	Prokka:Prodigal			0
124	Prokka:Prodigal	hslJ	Heat shock protein HslJ	0
125	Prokka:Prodigal	dnaK2	Chaperone protein dnaK2	0
126	Prokka:Prodigal	ldhA	D-lactate dehydrogenase	0
127	Prokka:Prodigal			0
128	Prokka:Prodigal			0
129	Prokka:Prodigal			0
130	Prokka:Prodigal	dksA_1	RNA polymerase-binding transcription factor DksA	0
131	Prokka:Prodigal	puuA	Gamma-glutamylputrescine synthetase PuuA	0
132	Prokka:Prodigal	spuC	Putrescine--pyruvate aminotransferase	0
133	Prokka:Prodigal	spuD	Putrescine-binding periplasmic protein SpuD	0
134	Prokka:Prodigal	spuE	Spermidine-binding periplasmic protein SpuE	0
135	Prokka:Prodigal	potA_1	Spermidine/putrescine import ATP-binding protein PotA	0
136	Prokka:Prodigal	potH	Putrescine transport system permease protein PotH	0
137	Prokka:Prodigal	ydcV_1	Inner membrane ABC transporter permease protein YdcV	0
138	Prokka:Prodigal	yiiM	Protein YiiM	0
139	Prokka:Prodigal			0
140	Prokka:Prodigal			0
141	Prokka:Prodigal	recQ	ATP-dependent DNA helicase RecQ	0
142	Prokka:Prodigal	cc4_1	Cytochrome c4	0
143	Prokka:Prodigal	selO	Protein adenylyltransferase SelO	0
144	Prokka:Prodigal			0
145	Prokka:Prodigal	yhhQ	Queuosine precursor transporter	0
146	Prokka:Prodigal	rraA	Regulator of ribonuclease activity A	0
147	Prokka:Prodigal			0
148	Prokka:Prodigal	cpcT	Chromophore lyase CpcT/CpeT	0
149	Prokka:Prodigal	rpmE	50S ribosomal protein L31	0
150	Prokka:Prodigal	priA	Primosomal protein N'	0
151	Prokka:Prodigal			0
152	Prokka:Prodigal			0
153	Prokka:Prodigal	mtr	Tryptophan-specific transport protein	0
154	Prokka:Prodigal	maeB	NADP-dependent malic enzyme	0
155	Prokka:Prodigal			0
156	Prokka:Prodigal	dtd	D-aminoacyl-tRNA deacylase	0
157	Prokka:Prodigal	speE	Polyamine aminopropyltransferase	0
158	Prokka:Prodigal			0
159	Prokka:Prodigal			0
