layers	Hv98_231	b1_3	AV040	ZfB1	Hm21	C4	Hv98_241	ANYA_18196	KMM366	ANYA_14430	AV183026	FDAARGOS_632	Hm22	KMM358	ANYA_13997	Ho04_635	FC951	AV0110	Hv98_232	Hv98_225	AV1708_29120	D3	KMM289	Hv98_571
ANYA_13997	151166.0	164362.0	146482.0	152703.0	150583.0	154019.0	148063.0	142680.0	157543.0	111266.0	155028.0	140961.0	153309.0	157410.0	0.0	150895.0	148706.0	142292.0	150974.0	143043.0	156119.0	145540.0	151407.0	152326.0
ANYA_14430	147641.0	160707.0	144937.0	149859.0	150721.0	157005.0	149107.0	139622.0	156205.0	0.0	153825.0	143454.0	149352.0	156172.0	110872.0	149273.0	146347.0	141743.0	147147.0	142340.0	159662.0	146164.0	146457.0	148320.0
ANYA_18196	138201.0	161782.0	146116.0	146867.0	139116.0	145905.0	137360.0	0.0	151201.0	140093.0	145903.0	138713.0	145740.0	151092.0	143688.0	138890.0	142606.0	139802.0	137809.0	142194.0	153793.0	141827.0	142628.0	145115.0
AV0110	137251.0	167195.0	153846.0	149717.0	138701.0	152378.0	138341.0	141177.0	152439.0	144486.0	147687.0	141537.0	143590.0	152304.0	143609.0	137479.0	143701.0	0.0	136843.0	142453.0	160945.0	146286.0	148152.0	142981.0
AV040	146401.0	174783.0	0.0	150117.0	147103.0	153694.0	147480.0	145233.0	157137.0	147472.0	150890.0	148378.0	150599.0	157107.0	148755.0	147489.0	151137.0	152853.0	145802.0	148913.0	162572.0	154400.0	153595.0	149655.0
AV1708_29120	156250.0	163656.0	163141.0	163739.0	158873.0	166967.0	158756.0	150171.0	165363.0	160509.0	161897.0	155940.0	159514.0	165167.0	155704.0	156338.0	159651.0	158666.0	155707.0	158011.0	0.0	162911.0	159018.0	158626.0
AV183026	151847.0	169381.0	152186.0	151884.0	152137.0	162588.0	152240.0	144967.0	164184.0	155425.0	0.0	146144.0	155709.0	164103.0	155350.0	151354.0	151040.0	147009.0	151115.0	151771.0	164241.0	151218.0	155307.0	154858.0
C4	155743.0	175956.0	153869.0	160177.0	156215.0	0.0	160966.0	147857.0	165930.0	157970.0	161786.0	153938.0	162643.0	165945.0	155262.0	154458.0	157228.0	150616.0	155365.0	155348.0	166167.0	154354.0	162678.0	161572.0
D3	144752.0	170236.0	152225.0	149629.0	146851.0	154468.0	143812.0	140592.0	157606.0	147914.0	151175.0	143569.0	146939.0	157467.0	147288.0	145374.0	148493.0	145206.0	143935.0	145824.0	162137.0	0.0	151726.0	146286.0
FC951	144831.0	166723.0	151720.0	151576.0	146059.0	157757.0	145980.0	140372.0	159676.0	148225.0	151776.0	141411.0	150428.0	159830.0	150887.0	144865.0	0.0	143106.0	144352.0	145193.0	161535.0	149330.0	153299.0	149653.0
FDAARGOS_632	137745.0	164677.0	149767.0	149892.0	137425.0	152953.0	136821.0	141105.0	152350.0	145870.0	146470.0	0.0	141682.0	152306.0	141722.0	137166.0	142727.0	140112.0	137272.0	140305.0	158310.0	143462.0	145841.0	140859.0
Hm21	103487.0	164903.0	147993.0	149439.0	0.0	156763.0	131733.0	136966.0	155969.0	152337.0	151507.0	137405.0	149146.0	155856.0	149779.0	117448.0	143651.0	137535.0	103238.0	138647.0	158463.0	146562.0	147544.0	148091.0
Hm22	150215.0	173561.0	151926.0	157139.0	152196.0	163962.0	154495.0	145982.0	170157.0	152373.0	155477.0	143263.0	0.0	169858.0	157674.0	151010.0	150134.0	144158.0	149912.0	149584.0	160768.0	147475.0	159484.0	431.0
